company,total_chunks,too_short,too_long,ok,has_issues
AAP,356,21,0,335,True
AAPL,278,13,0,265,True
ABG,635,12,0,623,True
ACI,507,9,0,498,True
AEO,427,21,0,406,True
AKA,543,14,0,529,True
AMZN,381,0,0,381,False
AN,549,24,0,525,True
ANF,243,12,0,231,True
APC,234,7,0,227,True
ARHS,487,14,0,473,True
ARKO,602,18,0,584,True
ASO,489,15,0,474,True
ATER,452,30,0,422,True
AZO,359,8,0,351,True
BARK,395,6,0,389,True
BBBY,438,9,0,429,True
BBW,328,0,0,328,False
BBWI,378,22,0,356,True
BBY,375,30,0,345,True
BIRD,613,14,0,599,True
BJ,417,21,0,396,True
BKE,233,9,0,224,True
BNED,522,20,0,502,True
BOBS,149,0,0,149,False
BOOT,399,0,0,399,False
BRLT,573,9,0,564,True
BSET,315,11,0,304,True
BURL,474,15,0,459,True
CAL,480,6,0,474,True
CART,780,11,0,769,True
CASY,280,2,0,278,True
CATO,463,18,0,445,True
CHWY,459,6,0,453,True
COLM,393,0,0,393,False
COOK,650,21,0,629,True
COST,239,17,0,222,True
CPNG,498,0,0,498,False
CRCT,667,18,0,649,True
CRI,542,10,0,532,True
CRMT,384,26,0,358,True
CROX,541,12,0,529,True
CTRN,256,6,0,250,True
CURV,537,13,0,524,True
CVNA,721,18,0,703,True
CVS,1143,14,0,1129,True
CWH,751,9,0,742,True
DBGI,314,2,0,312,True
DBI,333,0,0,333,False
DDS,315,12,0,303,True
DECK,481,3,0,478,True
DELL,674,9,0,665,True
DG,349,3,0,346,True
DIBS,540,9,0,531,True
DKS,423,15,0,408,True
DLTH,281,2,0,279,True
DLTR,326,11,0,315,True
DXLG,383,12,0,371,True
EBAY,563,13,0,550,True
ETD,433,33,0,400,True
ETSY,651,12,0,639,True
EVGO,706,26,0,680,True
EYE,621,11,0,610,True
FIGS,577,21,0,556,True
FIVE,401,6,0,395,True
FL,374,4,0,370,True
FLWS,412,6,0,406,True
FLXS,247,22,0,225,True
FND,431,18,0,413,True
FOSL,545,15,0,530,True
GAP,358,20,0,338,True
GCO,422,14,0,408,True
GES,868,18,0,850,True
GIII,549,12,0,537,True
GME,350,14,0,336,True
GO,502,10,0,492,True
GPI,444,12,0,432,True
GPRO,508,12,0,496,True
GROV,582,9,0,573,True
GRPN,528,9,0,519,True
GRWG,366,15,0,351,True
HBB,322,10,0,312,True
HD,447,18,0,429,True
HOFT,347,25,0,322,True
HOUR,155,12,0,143,True
HVT,243,21,0,222,True
HZO,447,20,0,427,True
IMKTA,301,28,0,273,True
JILL,423,26,0,397,True
JRSH,349,34,0,315,True
JWN,416,20,0,396,True
KMX,464,12,0,452,True
KOSS,283,33,0,250,True
KR,449,0,0,449,False
KSS,263,10,0,253,True
KTB,487,2,0,485,True
LAD,436,0,0,436,False
LAKE,416,18,0,398,True
LCUT,344,10,0,334,True
LE,406,8,0,398,True
LEG,436,17,0,419,True
LESL,357,14,0,343,True
LEVI,695,0,0,695,False
LIVE,556,15,0,541,True
LOVE,229,19,0,210,True
LOW,200,12,0,188,True
LULU,404,15,0,389,True
LVLU,532,7,0,525,True
LZB,423,20,0,403,True
M,408,21,0,387,True
MELI,898,12,0,886,True
MGRX,524,3,0,521,True
MHK,441,4,0,437,True
MNRO,191,30,0,161,True
MOV,540,30,0,510,True
MSS,439,19,0,420,True
MUSA,458,25,0,433,True
NGVC,466,36,0,430,True
NKE,538,12,0,526,True
NWL,470,7,0,463,True
OLLI,357,1,0,356,True
ONEW,661,19,0,642,True
ORBS,86,1,0,85,True
ORLY,366,3,0,363,True
OXM,577,13,0,564,True
PAG,534,9,0,525,True
PETS,477,12,0,465,True
PEW,113,2,0,111,True
PLBY,652,11,0,641,True
PLCE,507,26,0,481,True
POWW,421,7,0,414,True
PRPL,587,23,0,564,True
PRTS,343,12,0,331,True
PSMT,559,17,0,542,True
PTRN,172,7,0,165,True
PVH,723,17,0,706,True
RCKY,347,28,0,319,True
RDNW,376,24,0,352,True
REAL,492,31,0,461,True
REBN,430,30,0,400,True
RENT,667,25,0,642,True
RH,606,11,0,595,True
RIME,369,0,0,369,False
RL,692,27,0,665,True
ROST,261,15,0,246,True
RVLV,522,20,0,502,True
SAH,573,18,0,555,True
SBH,411,17,0,394,True
SFIX,423,12,0,411,True
SFM,455,30,0,425,True
SGC,319,18,0,301,True
SGI,442,21,0,421,True
SHOE,378,23,0,355,True
SHOO,417,9,0,408,True
SNBR,388,11,0,377,True
SONO,389,9,0,380,True
SPWH,434,39,0,395,True
SVV,560,13,0,547,True
T,646,11,0,635,True
TDUP,468,9,0,459,True
TGT,303,7,0,296,True
TJX,410,15,0,395,True
TLF,219,1,0,218,True
TLYS,388,12,0,376,True
TPR,563,16,0,547,True
TSCO,394,10,0,384,True
UAA,530,5,0,525,True
UEIC,461,10,0,451,True
ULTA,354,8,0,346,True
UPBD,571,30,0,541,True
URBN,405,14,0,391,True
VFC,681,0,0,681,False
VLGEA,253,18,0,235,True
VNCE,460,14,0,446,True
VRA,407,14,0,393,True
VSXY,475,24,0,451,True
VVV,430,3,0,427,True
VZ,675,0,0,675,False
W,496,10,0,486,True
WHR,595,0,0,595,False
WINA,230,15,0,215,True
WMK,213,16,0,197,True
WMT,339,3,0,336,True
WOOF,553,31,0,522,True
WRBY,554,0,0,554,False
WSM,236,12,0,224,True
WWW,418,6,0,412,True
XELB,572,15,0,557,True
XMAX,92,0,0,92,False
XOM,521,0,0,521,False
YHGJ,184,0,0,184,False
ZUMZ,269,12,0,257,True
