chunk_id,company,section,chunk_index,token_count,flag
AAPL__10-K__0000320193-23-000106__Item_14__chunk_0000,AAPL,Item_14,0,48,too_short
AAPL__10-K__0000320193-23-000106__Item_1B__chunk_0000,AAPL,Item_1B,0,11,too_short
AAPL__10-K__0000320193-23-000106__Item_4__chunk_0000,AAPL,Item_4,0,25,too_short
AAPL__10-K__0000320193-23-000106__Item_9C__chunk_0000,AAPL,Item_9C,0,18,too_short
AAPL__10-K__0000320193-23-000106__Part_IV__chunk_0000,AAPL,Part_IV,0,2,too_short
AAPL__10-K__0000320193-24-000123__Item_14__chunk_0000,AAPL,Item_14,0,48,too_short
AAPL__10-K__0000320193-24-000123__Item_4__chunk_0000,AAPL,Item_4,0,25,too_short
AAPL__10-K__0000320193-24-000123__Item_9C__chunk_0000,AAPL,Item_9C,0,18,too_short
AAPL__10-K__0000320193-24-000123__Part_IV__chunk_0000,AAPL,Part_IV,0,2,too_short
AAPL__10-K__0000320193-25-000079__Item_14__chunk_0000,AAPL,Item_14,0,48,too_short
AAPL__10-K__0000320193-25-000079__Item_4__chunk_0000,AAPL,Item_4,0,25,too_short
AAPL__10-K__0000320193-25-000079__Item_9C__chunk_0000,AAPL,Item_9C,0,18,too_short
AAPL__10-K__0000320193-25-000079__Part_IV__chunk_0000,AAPL,Part_IV,0,2,too_short
AAP__10-K__0001158449-24-000048__Item_3__chunk_0000,AAP,Item_3,0,37,too_short
AAP__10-K__0001158449-24-000048__Item_4__chunk_0000,AAP,Item_4,0,17,too_short
AAP__10-K__0001158449-24-000048__Item_6__chunk_0000,AAP,Item_6,0,7,too_short
AAP__10-K__0001158449-24-000048__Item_8__chunk_0000,AAP,Item_8,0,16,too_short
AAP__10-K__0001158449-24-000048__Item_9C__chunk_0000,AAP,Item_9C,0,24,too_short
AAP__10-K__0001158449-24-000048__Part_I__chunk_0000,AAP,Part_I,0,2,too_short
AAP__10-K__0001158449-24-000048__Part_II__chunk_0000,AAP,Part_II,0,2,too_short
AAP__10-K__0001158449-24-000048__Part_III__chunk_0000,AAP,Part_III,0,2,too_short
AAP__10-K__0001158449-24-000048__Part_IV__chunk_0000,AAP,Part_IV,0,2,too_short
AAP__10-K__0001158449-25-000064__Item_3__chunk_0000,AAP,Item_3,0,39,too_short
AAP__10-K__0001158449-25-000064__Item_4__chunk_0000,AAP,Item_4,0,17,too_short
AAP__10-K__0001158449-25-000064__Item_8__chunk_0000,AAP,Item_8,0,16,too_short
AAP__10-K__0001158449-25-000064__Item_9C__chunk_0000,AAP,Item_9C,0,24,too_short
AAP__10-K__0001158449-25-000064__Part_I__chunk_0000,AAP,Part_I,0,2,too_short
AAP__10-K__0001158449-25-000064__Part_II__chunk_0000,AAP,Part_II,0,2,too_short
AAP__10-K__0001158449-25-000064__Part_III__chunk_0000,AAP,Part_III,0,2,too_short
AAP__10-K__0001158449-25-000064__Part_IV__chunk_0000,AAP,Part_IV,0,2,too_short
AAP__10-K__0001193125-26-051305__Item_4__chunk_0000,AAP,Item_4,0,22,too_short
AAP__10-K__0001193125-26-051305__Item_6__chunk_0000,AAP,Item_6,0,12,too_short
AAP__10-K__0001193125-26-051305__Item_8__chunk_0000,AAP,Item_8,0,38,too_short
AAP__10-K__0001193125-26-051305__Item_9C__chunk_0000,AAP,Item_9C,0,30,too_short
ABG__10-K__0001144980-24-000076__Item_4__chunk_0000,ABG,Item_4,0,16,too_short
ABG__10-K__0001144980-24-000076__Item_9C__chunk_0000,ABG,Item_9C,0,19,too_short
ABG__10-K__0001144980-24-000076__Part_III__chunk_0000,ABG,Part_III,0,2,too_short
ABG__10-K__0001144980-24-000076__Part_IV__chunk_0000,ABG,Part_IV,0,2,too_short
ABG__10-K__0001144980-25-000077__Item_4__chunk_0000,ABG,Item_4,0,16,too_short
ABG__10-K__0001144980-25-000077__Item_9C__chunk_0000,ABG,Item_9C,0,21,too_short
ABG__10-K__0001144980-25-000077__Part_III__chunk_0000,ABG,Part_III,0,2,too_short
ABG__10-K__0001144980-25-000077__Part_IV__chunk_0000,ABG,Part_IV,0,2,too_short
