company_id,ticker,cik,name,sector,exchange
1,DDS,0000028917,DILLARDS INC  -CL A,Broadline Retail,New York Stock Exchange (NYSE)
2,M,0000794367,MACY'S INC,Broadline Retail,New York Stock Exchange (NYSE)
3,KSS,0000885639,KOHL'S CORP,Broadline Retail,New York Stock Exchange (NYSE)
4,CPNG,0001834584,COUPANG INC,Broadline Retail,New York Stock Exchange (NYSE)
5,DIBS,0001600641,1STDIBS.COM INC,Broadline Retail,NASDAQ-NMS Stock Market
6,OLLI,0001639300,OLLIE'S BARGAIN OUTLET HLDGS,Broadline Retail,NASDAQ-NMS Stock Market
7,ORBS,0001892492,EIGHTCO HOLDINGS INC,Broadline Retail,NASDAQ-NMS Stock Market
8,AMZN,0001018724,AMAZON.COM INC,Broadline Retail,NASDAQ-NMS Stock Market
9,EBAY,0001065088,EBAY INC,Broadline Retail,NASDAQ-NMS Stock Market
10,MELI,0001099590,MERCADOLIBRE INC,Broadline Retail,NASDAQ-NMS Stock Market
11,GRPN,0001490281,GROUPON INC,Broadline Retail,NASDAQ-NMS Stock Market
12,JWN,0000072333,NORDSTROM INC,Broadline Retail,New York Stock Exchange (NYSE)
13,HOUR,0001874875,HOUR LOOP INC,Broadline Retail,NASDAQ-NMS Stock Market
14,SVV,0001883313,SAVERS VALUE VILLAGE INC,Broadline Retail,New York Stock Exchange (NYSE)
15,PTRN,0001811935,PATTERN GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market
16,ETSY,0001370637,ETSY INC,Broadline Retail,New York Stock Exchange (NYSE)
17,GPRO,0001500435,GOPRO INC,Broadline Retail,NASDAQ-NMS Stock Market
18,KOSS,0000056701,KOSS CORP,Broadline Retail,NASDAQ-NMS Stock Market
19,UEIC,0000101984,UNIVERSAL ELECTRONICS INC,Broadline Retail,NASDAQ-NMS Stock Market
20,SONO,0001314727,SONOS INC,Broadline Retail,NASDAQ-NMS Stock Market
21,RIME,0000923601,ALGORHYTHM HOLDINGS INC,Broadline Retail,NASDAQ-NMS Stock Market
22,LOVE,0001701758,LOVESAC CO (THE),Broadline Retail,NASDAQ-NMS Stock Market
23,ETD,0000896156,ETHAN ALLEN INTERIORS INC,Broadline Retail,New York Stock Exchange (NYSE)
24,HOFT,0001077688,HOOKER FURNISHINGS CORP,Broadline Retail,NASDAQ-NMS Stock Market
25,XMAX,0001473334,XMAX INC,Broadline Retail,NASDAQ-NMS Stock Market
26,MHK,0000851968,MOHAWK INDUSTRIES INC,Broadline Retail,New York Stock Exchange (NYSE)
27,LZB,0000057131,LA-Z-BOY INC,Broadline Retail,New York Stock Exchange (NYSE)
28,FLXS,0000037472,FLEXSTEEL INDUSTRIES INC,Broadline Retail,NASDAQ-NMS Stock Market
29,BSET,0000010329,BASSETT FURNITURE INDS,Broadline Retail,NASDAQ-NMS Stock Market
30,LEG,0000058492,LEGGETT & PLATT INC,Broadline Retail,New York Stock Exchange (NYSE)
31,PRPL,0001643953,PURPLE INNOVATION INC,Broadline Retail,NASDAQ-NMS Stock Market
32,SGI,0001206264,SOMNIGROUP INTERNATIONAL INC,Broadline Retail,New York Stock Exchange (NYSE)
33,LIVE,0001045742,LIVE VENTURES INC,Broadline Retail,NASDAQ-NMS Stock Market
34,WHR,0000106640,WHIRLPOOL CORP,Broadline Retail,New York Stock Exchange (NYSE)
35,HBB,0001709164,HAMILTON BEACH BND HDNG,Broadline Retail,New York Stock Exchange (NYSE)
36,CRCT,0001828962,CRICUT INC,Broadline Retail,NASDAQ-NMS Stock Market
