ticker,filename,size_bytes,status
AAP,0001158449-24-000048.htm,2476412,ok
AAP,0001158449-25-000064.htm,2230044,ok
AAP,0001193125-26-051305.htm,3950175,ok
AAPL,0000320193-23-000106.htm,1558924,ok
AAPL,0000320193-24-000123.htm,1503780,ok
AAPL,0000320193-25-000079.htm,1520208,ok
ABG,0001144980-24-000076.htm,3489015,ok
ABG,0001144980-25-000077.htm,3533561,ok
ABG,0001144980-26-000051.htm,3163914,ok
ACI,0001646972-24-000060.htm,2632759,ok
ACI,0001646972-25-000052.htm,2620560,ok
ACI,0001646972-26-000032.htm,2589101,ok
AEO,0000950170-24-032294.htm,3646462,ok
AEO,0000950170-25-042746.htm,4371611,ok
AEO,0001193125-26-132097.htm,4892761,ok
AKA,0001865107-24-000010.htm,2212408,ok
AKA,0001865107-25-000016.htm,1915362,ok
AKA,0001865107-26-000008.htm,1904672,ok
AMZN,0001018724-24-000008.htm,1945178,ok
AMZN,0001018724-25-000004.htm,1922355,ok
AMZN,0001018724-26-000004.htm,1968342,ok
AN,0000350698-24-000021.htm,3329636,ok
AN,0000350698-25-000029.htm,3647431,ok
AN,0001628280-26-007800.htm,3769739,ok
ANF,0001018840-24-000019.htm,2358589,ok
ANF,0001018840-25-000013.htm,2488385,ok
ANF,0001018840-26-000012.htm,2507062,ok
APC,0001193125-26-131747.htm,4973527,ok
ARHS,0001875444-24-000024.htm,2222250,ok
ARHS,0001875444-25-000021.htm,1793167,ok
ARHS,0001875444-26-000010.htm,1767650,ok
ARKO,0000950170-24-021416.htm,5198474,ok
ARKO,0000950170-25-027737.htm,6036490,ok
ARKO,0001193125-26-071464.htm,6300412,ok
ASO,0001817358-24-000042.htm,2249836,ok
ASO,0001817358-25-000027.htm,2141382,ok
ASO,0001817358-26-000031.htm,2065060,ok
ATER,0001437749-24-008398.htm,2318976,ok
ATER,0001437749-25-009139.htm,2153723,ok
ATER,0001437749-26-009285.htm,2121930,ok
AZO,0001104659-25-102611.htm,3145910,ok
AZO,0001558370-23-016668.htm,3003284,ok
AZO,0001558370-24-013758.htm,3130839,ok
BARK,0001628280-26-042242.htm,1777171,ok
BARK,0001819574-24-000025.htm,1858587,ok
BARK,0001819574-25-000024.htm,1880656,ok
BBBY,0001130713-24-000013.htm,1966161,ok
BBBY,0001130713-25-000024.htm,1905166,ok
BBBY,0001130713-26-000018.htm,2161954,ok
BBW,0001437749-24-012440.htm,1575108,ok
BBW,0001437749-25-012234.htm,1915908,ok
BBW,0001437749-26-012501.htm,1969335,ok
BBWI,0000701985-24-000010.htm,1797062,ok
BBWI,0000701985-25-000011.htm,1835017,ok
BBWI,0000701985-26-000008.htm,1744446,ok
BBY,0000764478-24-000010.htm,7128150,ok
BBY,0000764478-25-000007.htm,6925830,ok
BBY,0000764478-26-000009.htm,2090316,ok
BIRD,0001628280-25-012130.htm,1724882,ok
BIRD,0001628280-26-022192.htm,2008800,ok
BIRD,0001653909-24-000015.htm,1781763,ok
BJ,0001531152-24-000026.htm,1731861,ok
BJ,0001531152-25-000013.htm,1727227,ok
BJ,0001531152-26-000007.htm,1736779,ok
BKE,0000885245-24-000051.htm,1084569,ok
BKE,0000885245-25-000052.htm,1118816,ok
BKE,0000885245-26-000012.htm,1135508,ok
BNED,0001634117-23-000032.htm,3214759,ok
BNED,0001634117-24-000048.htm,2723770,ok
BNED,0001634117-25-000038.htm,6124560,ok
BOBS,0001628280-26-019015.htm,1951533,ok
BOOT,0001104659-26-061346.htm,2507717,ok
BOOT,0001558370-24-008176.htm,2340580,ok
BOOT,0001558370-25-007889.htm,2464184,ok
BRLT,0001628280-26-018794.htm,2066554,ok
BRLT,0001866757-24-000040.htm,1839248,ok
BRLT,0001866757-25-000038.htm,1905279,ok
BSET,0001437749-24-002203.htm,2366360,ok
BSET,0001437749-25-003216.htm,2919671,ok
BSET,0001437749-26-003189.htm,2872707,ok
BURL,0000950170-24-032207.htm,3664695,ok
BURL,0000950170-25-040472.htm,4264273,ok
BURL,0001193125-26-116001.htm,4718782,ok
CAL,0000014707-24-000012.htm,4424337,ok
CAL,0000014707-25-000017.htm,4615016,ok
CAL,0000014707-26-000053.htm,4874626,ok
CART,0001579091-24-000027.htm,3191709,ok
CART,0001579091-25-000015.htm,2776688,ok
CART,0001579091-26-000018.htm,2908958,ok
CASY,0000726958-24-000046.htm,1199144,ok
CASY,0000726958-25-000065.htm,1311881,ok
CASY,0000726958-26-000046.htm,1305180,ok
CATO,0001562762-24-000065.htm,2100807,ok
CATO,0001562762-25-000062.htm,2364444,ok
CATO,0001562762-26-000041.htm,2380869,ok
CHWY,0001766502-24-000014.htm,1761134,ok
CHWY,0001766502-25-000014.htm,1813872,ok
CHWY,0001766502-26-000034.htm,1781992,ok
COLM,0001050797-24-000032.htm,2226375,ok
COLM,0001050797-25-000023.htm,2354560,ok
COLM,0001050797-26-000028.htm,2495280,ok
COOK,0001628280-26-015450.htm,2001989,ok
COOK,0001857853-24-000020.htm,2159706,ok
COOK,0001857853-25-000018.htm,2019745,ok
COST,0000909832-23-000042.htm,1502612,ok
COST,0000909832-24-000049.htm,1497890,ok
COST,0000909832-25-000101.htm,1438962,ok
CPNG,0001834584-24-000023.htm,2126954,ok
CPNG,0001834584-25-000030.htm,2291231,ok
CPNG,0001834584-26-000024.htm,2467747,ok
CRCT,0001828962-24-000014.htm,2301178,ok
CRCT,0001828962-25-000039.htm,2101032,ok
CRCT,0001828962-26-000010.htm,2151133,ok
CRI,0001060822-24-000062.htm,2321263,ok
CRI,0001060822-25-000030.htm,2355725,ok
CRI,0001060822-26-000016.htm,2433052,ok
CRMT,0001171843-23-004114.htm,1704667,ok
CRMT,0001171843-24-003950.htm,2010036,ok
CRMT,0001628280-25-039026.htm,2102521,ok
CROX,0001334036-24-000025.htm,2229187,ok
CROX,0001334036-25-000009.htm,2281408,ok
CROX,0001334036-26-000006.htm,2239922,ok
CTRN,0001104659-26-043813.htm,1779066,ok
CTRN,0001558370-24-005294.htm,2008629,ok
CTRN,0001558370-25-004897.htm,2183452,ok
CURV,0001628280-24-014351.htm,1905682,ok
CURV,0001628280-25-015891.htm,1793970,ok
CURV,0001792781-26-000007.htm,1911245,ok
CVNA,0001690820-24-000093.htm,2758336,ok
CVNA,0001690820-25-000074.htm,2659935,ok
CVNA,0001690820-26-000009.htm,2567270,ok
CVS,0000064803-24-000007.htm,5352597,ok
CVS,0000064803-25-000007.htm,5108619,ok
CVS,0000064803-26-000010.htm,4921164,ok
CWH,0001104659-26-021548.htm,7070936,ok
CWH,0001558370-24-001703.htm,6756212,ok
CWH,0001558370-25-001939.htm,8256967,ok
DBGI,0001104659-24-047365.htm,2737793,ok
DBGI,0001493152-26-016851.htm,2366283,ok
DBGI,0001641172-25-003320.htm,1985122,ok
DBI,0001319947-24-000011.htm,2243556,ok
DBI,0001319947-25-000012.htm,2502199,ok
DBI,0001319947-26-000022.htm,2119551,ok
DDS,0000028917-24-000011.htm,2613792,ok
DDS,0000028917-25-000004.htm,2826952,ok
DDS,0000028917-26-000006.htm,2888968,ok
DECK,0000910521-24-000017.htm,2266200,ok
DECK,0000910521-25-000017.htm,2332427,ok
DECK,0001628280-26-037664.htm,5260149,ok
DELL,0001571996-24-000036.htm,3933680,ok
DELL,0001571996-25-000034.htm,4182278,ok
DELL,0001571996-26-000008.htm,3552634,ok
DG,0001104659-26-032325.htm,2672091,ok
DG,0001558370-24-003813.htm,2463725,ok
DG,0001558370-25-003413.htm,2642074,ok
DIBS,0001600641-24-000022.htm,1775901,ok
DIBS,0001600641-25-000011.htm,1753463,ok
DIBS,0001600641-26-000007.htm,1708690,ok
DKS,0001089063-24-000037.htm,1837308,ok
DKS,0001089063-25-000012.htm,1864904,ok
DKS,0001089063-26-000007.htm,2429393,ok
DLTH,0001193125-26-117508.htm,3622936,ok
DLTH,0001649744-24-000006.htm,3976848,ok
DLTH,0001649744-25-000006.htm,4157835,ok
