ticker,filings_found,uploaded_to_drive,failed
AEO,3,3,0
AKA,3,3,0
AMZN,3,3,0
ANF,3,3,0
BIRD,3,3,0
BKE,3,3,0
BOOT,3,3,0
BURL,3,3,0
CAL,3,3,0
CATO,3,3,0
COLM,3,3,0
CPNG,3,3,0
CRI,3,3,0
CROX,3,3,0
CTRN,3,3,0
CURV,3,3,0
DBGI,3,3,0
DBI,3,3,0
DDS,3,3,0
DECK,3,3,0
DIBS,3,3,0
DLTH,3,3,0
DXLG,3,3,0
EBAY,3,3,0
ETSY,3,3,0
FIGS,3,3,0
FL,3,3,0
FOSL,3,3,0
GAP,3,3,0
GCO,3,3,0
GES,3,3,0
GIII,3,3,0
GRPN,3,3,0
HOUR,3,3,0
JILL,3,3,0
JRSH,3,3,0
JWN,3,3,0
KSS,3,3,0
KTB,3,3,0
LAKE,3,3,0
LE,3,3,0
LEVI,3,3,0
LULU,3,3,0
LVLU,3,3,0
M,3,3,0
MELI,3,3,0
MOV,3,3,0
NKE,3,3,0
OLLI,3,3,0
OXM,3,3,0
PLBY,3,3,0
PLCE,3,3,0
PTRN,1,1,0
PVH,3,3,0
RCKY,3,3,0
RL,3,3,0
ROST,3,3,0
RVLV,3,3,0
SFIX,3,3,0
SGC,3,3,0
SHOE,3,3,0
SHOO,3,3,0
SVV,3,3,0
TJX,3,3,0
TLYS,3,3,0
TPR,3,3,0
UAA,3,3,0
URBN,3,3,0
VFC,3,3,0
VNCE,3,3,0
VRA,3,3,0
VSXY,3,3,0
WWW,3,3,0
XELB,3,3,0
ZUMZ,3,3,0
