ticker,company_name,decision,reason,total_qa_rows
AAP,ADVANCE AUTO PARTS INC,ACCEPT,Clean QA pass,2
AAPL,APPLE INC,EXCLUDE_PENDING_FIX,High-severity garbled text or low readable word ratio detected,5
ABG,ASBURY AUTOMOTIVE GROUP INC,ACCEPT,Clean QA pass,4
ACI,ALBERTSONS COS INC,ACCEPT,Clean QA pass,4
AEO,AMERN EAGLE OUTFITTERS INC,ACCEPT,Clean QA pass,4
AKA,A.K.A. BRAND HOLD CORP,NOT_FOUND,No ESG report found for this company,1
AMZN,AMAZON.COM INC,EXCLUDE_PENDING_FIX,High-severity garbled text or low readable word ratio detected,5
AN,AUTONATION INC,ACCEPT,Clean QA pass,5
APC,ARKO PETROLEUM CORP,ACCEPT,Clean QA pass,4
ARHS,ARHAUS INC,NOT_FOUND,No ESG report found for this company,1
ARKO,ARKO CORP,ACCEPT,Clean QA pass,4
ASO,ACADEMY SPO AND OU INC,ACCEPT,Clean QA pass,1
ATER,ATERIAN INC,NOT_FOUND,No ESG report found for this company,1
AZO,AUTOZONE INC,ACCEPT,Clean QA pass,6
BARK,BARK INC,NOT_FOUND,No ESG report found for this company,1
BBW,BUILD-A-BEAR WORKSHOP INC,ACCEPT,Clean QA pass,2
BBWI,BATH & BODY WORKS INC,ACCEPT,Clean QA pass,4
BBY,BEST BUY CO INC,ACCEPT,Clean QA pass,5
BIRD,ALLBIRDS INC,ACCEPT,Clean QA pass,4
BJ,BJS WHSL CLUB HLDGS INC,ACCEPT,Clean QA pass,1
BKE,BUCKLE INC,NOT_FOUND,No ESG report found for this company,1
BNED,BARNES & NOBLE EDUCATION INC,NOT_FOUND,No ESG report found for this company,1
BOBS,BOBS DISCOUNT FURNITURE INC,NOT_FOUND,No ESG report found for this company,1
BOOT,BOOT BARN HOLDINGS INC,NOT_FOUND,No ESG report found for this company,1
BSET,BASSETT FURNITURE INDS,NOT_FOUND,No ESG report found for this company,1
BURL,BURLINGTON STORES INC,ACCEPT,Clean QA pass,4
CAL,CALERES INC,ACCEPT,Clean QA pass,4
CART,MAPLEBEAR INC,NOT_FOUND,No ESG report found for this company,1
CASY,CASEYS GENERAL STORES INC,ACCEPT,Clean QA pass,5
CATO,CATO CORP  -CL A,NOT_FOUND,No ESG report found for this company,1
CHWY,CHEWY INC,NOT_FOUND,No ESG report found for this company,1
COLM,COLUMBIA SPORTSWEAR CO,ACCEPT,Clean QA pass,4
COOK,TRAEGER INC,NOT_FOUND,No ESG report found for this company,1
COST,COSTCO WHOLESALE CORP,ACCEPT_MINOR_ISSUES,"Minor issues (e.g. missing citation metadata), acceptable for staging",3
CPNG,COUPANG INC,ACCEPT,Clean QA pass,3
CRCT,CRICUT INC,NOT_FOUND,No ESG report found for this company,1
CRI,CARTER'S INC,ACCEPT,Clean QA pass,4
CRMT,AMERICA'S CAR-MART INC,ACCEPT,Clean QA pass,4
CROX,CROCS INC,ACCEPT,Clean QA pass,5
CTRN,CITI TRENDS INC,NOT_FOUND,No ESG report found for this company,1
CURV,TORRID HOLDINGS INC,ACCEPT,Clean QA pass,3
CVNA,CARVANA CO,NOT_FOUND,No ESG report found for this company,1
CVS,CVS HEALTH CORP,ACCEPT,Clean QA pass,4
CWH,CAMPING WORLD HOLDINGS INC,NOT_FOUND,No ESG report found for this company,1
DBGI,DIGITAL BRANDS GRP INC,NOT_FOUND,No ESG report found for this company,1
DBI,DESIGNER BRANDS INC,NOT_FOUND,No ESG report found for this company,1
DDS,DILLARDS INC  -CL A,NOT_FOUND,No ESG report found for this company,1
DECK,DECKERS OUTDOOR CORP,ACCEPT_MINOR_ISSUES,"Minor issues (e.g. missing citation metadata), acceptable for staging",5
DELL,DELL TECHNOLOGIES INC,ACCEPT,Clean QA pass,4
DG,DOLLAR GENERAL CORP,ACCEPT,Clean QA pass,4
DIBS,1STDIBS.COM INC,NOT_FOUND,No ESG report found for this company,1
DKS,DICKS SPORTING GOODS INC,ACCEPT,Clean QA pass,1
DLTH,DULUTH HOLDINGS INC,NOT_FOUND,No ESG report found for this company,1
DLTR,DOLLAR TREE INC,ACCEPT_MINOR_ISSUES,"Minor issues (e.g. missing citation metadata), acceptable for staging",5
DXLG,DESTINATION XL GROUP INC,ACCEPT,Clean QA pass,1
EBAY,EBAY INC,ACCEPT,Clean QA pass,5
ETD,ETHAN ALLEN INTERIORS INC,NOT_FOUND,No ESG report found for this company,1
ETSY,ETSY INC,MISSING_PDF,PDF reference exists but file missing,5
EVGO,EVGO INC,NOT_FOUND,No ESG report found for this company,1
EYE,NATIONAL VISION HOLDINGS INC,ACCEPT,Clean QA pass,4
FIGS,FIGS INC,ACCEPT,Clean QA pass,5
FIVE,FIVE BELOW INC,ACCEPT,Clean QA pass,5
FL,FOOT LOCKER INC,ACCEPT,Clean QA pass,3
FLWS,1-800-FLOWERS.COM,NOT_FOUND,No ESG report found for this company,1
FLXS,FLEXSTEEL INDUSTRIES INC,ACCEPT,Clean QA pass,2
FND,FLOOR & DECOR HLDGS,ACCEPT,Clean QA pass,2
FOSL,FOSSIL GROUP INC,ACCEPT,Clean QA pass,4
GAP,GAP INC,ACCEPT,Clean QA pass,5
GCO,GENESCO INC,ACCEPT,Clean QA pass,2
GES,GUESS INC,ACCEPT,Clean QA pass,4
GIII,G-III APPAREL GROUP LTD,ACCEPT,Clean QA pass,3
GME,GAMESTOP CORP,NOT_FOUND,No ESG report found for this company,1
GO,GROCERY OUTLET HLDNG CORP,ACCEPT,Clean QA pass,3
GPI,GROUP 1 AUTOMOTIVE INC,ACCEPT,Clean QA pass,4
GPRO,GOPRO INC,ACCEPT,Clean QA pass,3
GROV,GROVE COLLABORATIVE HLDG INC,ACCEPT_MINOR_ISSUES,"Minor issues (e.g. missing citation metadata), acceptable for staging",5
GRPN,GROUPON INC,ACCEPT,Clean QA pass,1
