ticker,drive_folder_id,drive_folder_url
AAP,1pvIpprpec-UK5EARG6kPAfwwkedeE1Ur,https://drive.google.com/drive/folders/1pvIpprpec-UK5EARG6kPAfwwkedeE1Ur
AAPL,1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,https://drive.google.com/drive/folders/1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T
ABG,1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,https://drive.google.com/drive/folders/1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh
ACI,1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,https://drive.google.com/drive/folders/1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g
AEO,1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,https://drive.google.com/drive/folders/1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi
AMZN,16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,https://drive.google.com/drive/folders/16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ
AN,1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,https://drive.google.com/drive/folders/1tU46wrkfyWLPRifvk4gveZbkyNbG1caG
APC,1mNwy9P09NgJTpRGR3bL-5BsczJP6935i,https://drive.google.com/drive/folders/1mNwy9P09NgJTpRGR3bL-5BsczJP6935i
ARKO,1e1rSevZqny_wTp6Soya8MmZW_705_BTA,https://drive.google.com/drive/folders/1e1rSevZqny_wTp6Soya8MmZW_705_BTA
ASO,1jhkV1QFaZ-lyioVUqGqYS5Vh-k3pHhhx,https://drive.google.com/drive/folders/1jhkV1QFaZ-lyioVUqGqYS5Vh-k3pHhhx
AZO,1vQNIcVvTVzKxzXNNlyS_ObzbnK9P6nIW,https://drive.google.com/drive/folders/1vQNIcVvTVzKxzXNNlyS_ObzbnK9P6nIW
BBW,1rFB-jSO1Co0Qw9Ofg510ENkIjGZOuLth,https://drive.google.com/drive/folders/1rFB-jSO1Co0Qw9Ofg510ENkIjGZOuLth
BBWI,1Mo9-0cn-v0Fi_efi4Axg29kjcOci_5Uu,https://drive.google.com/drive/folders/1Mo9-0cn-v0Fi_efi4Axg29kjcOci_5Uu
