company,pdf,page,image_index,filename,width,height,size_bytes
AAPL,AAPL-APPLE INC-2021,1,0,AAPL-APPLE INC-2021__page1__img0.jpeg,1229,1589,50669
AAPL,AAPL-APPLE INC-2021,2,0,AAPL-APPLE INC-2021__page2__img0.jpeg,1229,1589,50669
AAPL,AAPL-APPLE INC-2021,3,0,AAPL-APPLE INC-2021__page3__img0.jpeg,267,364,10742
AAPL,AAPL-APPLE INC-2021,4,0,AAPL-APPLE INC-2021__page4__img0.jpeg,1058,382,59898
AAPL,AAPL-APPLE INC-2021,5,0,AAPL-APPLE INC-2021__page5__img0.jpeg,1054,383,50951
AAPL,AAPL-APPLE INC-2021,6,0,AAPL-APPLE INC-2021__page6__img0.jpeg,1230,1590,98875
AAPL,AAPL-APPLE INC-2021,6,1,AAPL-APPLE INC-2021__page6__img1.jpeg,1230,1590,102203
AAPL,AAPL-APPLE INC-2021,8,0,AAPL-APPLE INC-2021__page8__img0.jpeg,761,478,29462
AAPL,AAPL-APPLE INC-2021,9,0,AAPL-APPLE INC-2021__page9__img0.jpeg,567,334,31035
AAPL,AAPL-APPLE INC-2021,11,0,AAPL-APPLE INC-2021__page11__img0.jpeg,665,435,68915
AAPL,AAPL-APPLE INC-2021,13,0,AAPL-APPLE INC-2021__page13__img0.jpeg,1229,1587,166924
AAPL,AAPL-APPLE INC-2021,16,0,AAPL-APPLE INC-2021__page16__img0.jpeg,763,418,41822
AAPL,AAPL-APPLE INC-2021,19,0,AAPL-APPLE INC-2021__page19__img0.jpeg,766,501,55162
AAPL,AAPL-APPLE INC-2021,20,0,AAPL-APPLE INC-2021__page20__img0.jpeg,763,240,22572
AAPL,AAPL-APPLE INC-2021,21,0,AAPL-APPLE INC-2021__page21__img0.jpeg,1059,531,26624
AAPL,AAPL-APPLE INC-2021,22,0,AAPL-APPLE INC-2021__page22__img0.jpeg,1059,480,48657
AAPL,AAPL-APPLE INC-2021,24,0,AAPL-APPLE INC-2021__page24__img0.jpeg,764,557,69035
AAPL,AAPL-APPLE INC-2021,25,0,AAPL-APPLE INC-2021__page25__img0.jpeg,1229,1589,65796
AAPL,AAPL-APPLE INC-2021,26,0,AAPL-APPLE INC-2021__page26__img0.jpeg,322,426,5488
