ticker,pdf_file,page,annotator1_class,annotator2_class
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,68,ambiguous_or_mixed,prose
KR,KR-KROGER CO-2022.pdf,57,ambiguous_or_mixed,prose
DLTR,DLTR-DOLLAR TREE INC-2023.pdf,29,ambiguous_or_mixed,table_dominant
ETSY,ETSY-Etsy-2021.pdf,7,prose,ambiguous_or_mixed
SGC,SGC-SUPERIOR GROUP OF COS INC-2023.pdf,15,prose,ambiguous_or_mixed
WMK,WMK-WEIS MARKETS INC-2021.pdf,12,table_dominant,prose
ETSY,ETSY-Etsy-2021.pdf,8,prose,table_dominant
SNBR,SNBR-SLEEP NUMBER CORP-2022.pdf,22,prose,ambiguous_or_mixed
NKE,NKE-NIKE INC -CL B-2022.pdf,161,prose,ambiguous_or_mixed
CASY,CASY-CASEYS GENERAL STORES INC-2025.pdf,15,ambiguous_or_mixed,prose
SONO,SONO-SONOS INC-2023.pdf,42,table_dominant,ambiguous_or_mixed
T,T-AT&T INC-2023.pdf,48,prose,ambiguous_or_mixed
FIGS,FIGS-FIGS INC-2022.pdf,11,prose,ambiguous_or_mixed
KSS,KSS-KOHL'S CORP-2021.pdf,13,ambiguous_or_mixed,prose
BBY,BBY-BEST BUY CO INC-2022.pdf,69,prose,ambiguous_or_mixed
AAPL,AAPL-APPLE INC-2025.pdf,10,ambiguous_or_mixed,prose
M,M-MACY'S INC-2023.pdf,34,prose,ambiguous_or_mixed
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,58,ambiguous_or_mixed,prose
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,48,prose,ambiguous_or_mixed
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2024.pdf,31,prose,ambiguous_or_mixed
SGC,SGC-SUPERIOR GROUP OF COS INC-2022.pdf,20,prose,ambiguous_or_mixed
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,61,prose,ambiguous_or_mixed
VZ,VZ-VERIZON COMMUNICATIONS INC-2024.pdf,4,prose,ambiguous_or_mixed
W,W-WAYFAIR INC-2021.pdf,5,prose,ambiguous_or_mixed
ACI,ACI-ALBERTSONS COS INC-2025.pdf,17,prose,ambiguous_or_mixed
BURL,BURL-Burlington Stores-2024.pdf,28,table_dominant,ambiguous_or_mixed
MELI,MELI-MERCADOLIBRE-2023.pdf,35,prose,ambiguous_or_mixed
W,W-WAYFAIR INC-2023.pdf,24,prose,ambiguous_or_mixed
WSM,WSM-WILLIAMS-SONOMA INC-2023.pdf,19,prose,ambiguous_or_mixed
NWL,NWL-NEWELL BRANDS INC-2024.pdf,26,prose,ambiguous_or_mixed
LOW,LOW-LOWE'S COS INC-2021.pdf,18,prose,ambiguous_or_mixed
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2023.pdf,5,prose,ambiguous_or_mixed
TPR,TPR-TAPESTRY INC-2024.pdf,38,prose,ambiguous_or_mixed
ULTA,ULTA-ULTA BEAUTY INC-2025.pdf,38,prose,ambiguous_or_mixed
NKE,NKE-NIKE INC -CL B-2023.pdf,30,prose,ambiguous_or_mixed
LAD,LAD-LITHIA MOTORS INC -CL A-2025.pdf,14,prose,ambiguous_or_mixed
MELI,MELI-MERCADOLIBRE-2023.pdf,38,prose,ambiguous_or_mixed
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,25,prose,ambiguous_or_mixed
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,26,prose,ambiguous_or_mixed
TGT,TGT-TARGET CORP-2023.pdf,69,ambiguous_or_mixed,table_dominant
BBW,BBW-BUILD-A-BEAR WORKSHOP INC-2023.pdf,26,prose,ambiguous_or_mixed
FIGS,FIGS-FIGS INC-2023.pdf,11,ambiguous_or_mixed,prose
CROX,CROX-CROCS INC-2021.pdf,20,prose,ambiguous_or_mixed
