report_label,ticker,year,heading,review_flag,source_line
AEO 2021,AEO,2021,ABOUT THIS REPORT,,2
AEO 2021,AEO,2021,CEO WELCOME,,3
AEO 2021,AEO,2021,BUILDING A BETTER WORLD HIGHLIGHTS,,4
AEO 2021,AEO,2021,OUR JOURNEY,,5
AEO 2021,AEO,2021,"About AEO, Inc. and Our Brands",,6
AEO 2021,AEO,2021,American Eagle,,8
AEO 2021,AEO,2021,Aerie,,9
AEO 2021,AEO,2021,Unsubscribed,,10
AEO 2021,AEO,2021,ESG Oversight and Collaboration Setting Best Practices,,11
AEO 2021,AEO,2021,Material ESG Topics,,13
AEO 2021,AEO,2021,PLANET,,14
AEO 2021,AEO,2021,A Decade of Water Leadership,,15
AEO 2021,AEO,2021,Sustainable Materials,,16
AEO 2021,AEO,2021,Real Good. Made with the Planet in Mind,,17
AEO 2021,AEO,2021,Climate: Energy and Emissions,,19
AEO 2021,AEO,2021,Circularity and Waste Reduction,,20
AEO 2021,AEO,2021,PEOPLE,,21
AEO 2021,AEO,2021,Building a Better Workplace and Community - Social Goals,,22
AEO 2021,AEO,2021,Our People and Values Are at the Center of Everything We Do,sentence_like_review,24
AEO 2021,AEO,2021,Our Culture is a Competitive Advantage,,26
AEO 2021,AEO,2021,Our Total Rewards Approach,,27
AEO 2021,AEO,2021,"IDEA: Inclusion, Diversity, Equity and Access",,28
AEO 2021,AEO,2021,IDEA Alliance and Guiding Principles,,29
AEO 2021,AEO,2021,People Data,,30
AEO 2021,AEO,2021,Associate Networks & Connections,,31
AEO 2021,AEO,2021,Caring for Our People: Human Rights in Our Supply Chain,,32
AEO 2021,AEO,2021,"We are committed to safe working conditions, supplier relations and human rights across our supply chain.",sentence_like_review,33
AEO 2021,AEO,2021,Consumer Trust,,35
AEO 2021,AEO,2021,Partnerships That Make a Difference,,36
AEO 2021,AEO,2021,Supporting People and Strengthening Our Communities,,37
AEO 2021,AEO,2021,We give back and roll up our sleeves to make a difference in the communities where we live and work.,sentence_like_review,38
AEO 2021,AEO,2021,PRACTICES,,40
AEO 2021,AEO,2021,Corporate Governance and Board of Directors,,41
AEO 2021,AEO,2021,Responsible Business,,42
AEO 2021,AEO,2021,Key Sourcing Policies and Protocols,,43
AEO 2021,AEO,2021,Data Privacy and Security,,44
AEO 2021,AEO,2021,In Memoriam of Steven A. Davis,,45
AEO 2021,AEO,2021,Forward-looking Statements,,46
AEO 2021,AEO,2021,APPENDIX,,47
AEO 2021,AEO,2021,SASB Index,,48
AEO 2021,AEO,2021,Annual GHG Inventory Results,,49
