company_id,ticker,company_name,tracker_status,coverage_reason_code,source_candidate_type,site_or_source_url,drive_file_link,notes,recommended_action,embedding_policy,priority
1,DDS,DILLARDS INC  -CL A,not_found,website_only_candidate,web_esg_page_or_web_document,https://investor.dillards.com/static-files/879191ae-f3bb-4cba-98e5-8ed34c41a928,,"There is no published ""Sustainability Report"", but can find some information from https://investor.dillards.com/static-files/879191ae-f3bb-4cba-98e5-8ed34c41a928",Keep out of PDF ESG corpus; create separate web-source registry row if we decide to crawl/site-ingest it.,supplemental_web_index_only; exclude_from_pdf_esg_index,medium
5,DIBS,1STDIBS.COM INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
6,OLLI,OLLIE'S BARGAIN OUTLET HLDGS,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
7,ORBS,EIGHTCO HOLDINGS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
13,HOUR,HOUR LOOP INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
18,KOSS,KOSS CORP,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
21,RIME,ALGORHYTHM HOLDINGS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
23,ETD,ETHAN ALLEN INTERIORS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
25,XMAX,XMAX INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
29,BSET,BASSETT FURNITURE INDS,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
