logical_source_id,source_version_id,extraction_artifact_id,ticker,pdf_stem,page,source_page_sha256,before_text_sha256,after_text_sha256,detection_signal,action,verification_result,ocr_engine,created_at,active
ls_714aca0dd0a693db88e14c9c,sv_cb777c3fa3a519b77981923f,ea_d1943dd2f00788070a08fd84,ACI,ACI-ALBERTSONS COS INC-2020,4,5b46de7a26a518f615e2e470963e7e607ba0d73c6a4fd3967ca13205e237cd7a,5b46de7a26a518f615e2e470963e7e607ba0d73c6a4fd3967ca13205e237cd7a,14efd31348e40b8f6a2185b3164b6150e3fb3f37ae745954106e189f10a11b3b,replacement_character,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T15:51:55.759147+00:00,true
ls_5efbf6c4787c70b35b13a0db,sv_073408dc0d2dc323d508eb22,ea_166e5a29ab70000abbc0b205,EYE,EYE-NATIONAL VISION HOLDINGS INC-2020,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9896983bed4a25ed9eb61be9529828b04b7dba764f2b032c4fcf908b2c4ffceb,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T15:52:08.160631+00:00,true
ls_41a90a301e9c72c6b1a50653,sv_e36d0d0b11e770dcd65be7c9,ea_df09090fa98ed111bdeaecb6,EYE,EYE-NATIONAL VISION HOLDINGS INC-2023,47,e3a3991c9e156bd939c320978553478b0b4d69829ce59f287e6a53a591acdb74,e3a3991c9e156bd939c320978553478b0b4d69829ce59f287e6a53a591acdb74,4d8f2700ff1dbb662856996019bb6816499f1179224422089b427b6978e04641,cid_artifact,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T15:54:24.006598+00:00,true
ls_41a90a301e9c72c6b1a50653,sv_e36d0d0b11e770dcd65be7c9,ea_df09090fa98ed111bdeaecb6,EYE,EYE-NATIONAL VISION HOLDINGS INC-2023,73,6c33bdc60b9cd48eaab448e6dc2171184fd4ebb52d2eb37e615791ee500c1b30,6c33bdc60b9cd48eaab448e6dc2171184fd4ebb52d2eb37e615791ee500c1b30,6c33bdc60b9cd48eaab448e6dc2171184fd4ebb52d2eb37e615791ee500c1b30,garbled_or_low_readable_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T15:54:24.006598+00:00,false
ls_2d9be684b328479bd5f5e1c6,sv_1b4ea56c1b3b982967f6c457,ea_433a946394e36b5a3c15d5ef,ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2025,44,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3d8e22593fb78166063c8e2aa15b77f31449f1c18188770977b2a9b8d71fc767,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T15:55:25.497742+00:00,true
ls_199108d2ad0d75ec066ffbee,sv_0b8eae14f71187aed044b0d4,ea_b8f079115d5fb4d3e26840cb,GES,GES-GUESS-2021-2020,57,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T15:56:00.181938+00:00,false
ls_06876299aaa1fa887216a815,sv_0dec0b8405611ef5ea274a6b,ea_a5a867e5091b44f8035ec4b0,KMX,KMX-CARMAX INC-2025,45,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T15:57:06.412352+00:00,false
ls_0f5071c470bd2aa57357e5bd,sv_ed931ca1f17c0bdd2c5614e5,ea_aeac6d20a9e723a787419875,ACI,ACI-ALBERTSONS COS INC-2016,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f8522b82c33665042a68b5ac968a330fa2db35762bcc0f356cfe7b5d50c55e91,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T15:57:59.021907+00:00,true
ls_a642e633d8a05ab0a56e2ba9,sv_7d6bb270c4924662b8f611b7,ea_11492201a3e24d66793f38e5,LOVE,LOVE-LOVESAC CO (THE)-2024,54,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e64a7d241ea192e2ce7c06837c7b0951d80b8eb1c2ac691b0e9dcb8baa271a9e,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:00:09.487665+00:00,true
ls_a642e633d8a05ab0a56e2ba9,sv_7d6bb270c4924662b8f611b7,ea_11492201a3e24d66793f38e5,LOVE,LOVE-LOVESAC CO (THE)-2024,55,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,440abc63a38de4722d9940ce9d3280d870df8f1f3bf4b3aed6937d750d34d69e,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:00:09.487665+00:00,true
