company_id,ticker,company_name,tracker_status,report_year,format,drive_file_link,pdf_file,pdf_count,parsed_count,ocr_required_count,failed_parse_count,doc_quality_status,rag_action,quality_flag_count,wrong_doc_type_count,garbled_text_count,low_text_quality_count,layout_audit_status,layout_checked_page_count,layout_auto_hold_page_count,layout_held_chunk_count,section_count,chunk_count,short_evidence_chunk_count,citation_ready_chunk_count,missing_citation_metadata_count,min_chunk_tokens,max_chunk_tokens,status,notes
110,APC,ARKO PETROLEUM CORP,downloaded,2021,PDF,https://drive.google.com/file/d/1vATD7H4S6QJBMxnwA4WpNQl3BVX916NF/view,APC-ARKO PETROLEUM CORP-2021.pdf,1,1,0,0,source_registry_excluded,exclude_from_esg_index,0,0,0,0,missing_or_stale,0,0,0,38,50,3,50,0,97,521,excluded_from_esg_index,"layout audit missing or stale for current parsed text; source registry policy: type=sustainability, scope=full_report, tier=excluded, include_in_esg_index=false; source registry excludes duplicate of ARKO__2021__sustainability_report__01"
110,APC,ARKO PETROLEUM CORP,downloaded,2022,PDF,https://drive.google.com/file/d/1ibRB_nfxk1oHMn8Pe9cTdy86tQBBlw24/view,APC-ARKO PETROLEUM CORP-2022.pdf,1,1,0,0,source_registry_excluded,exclude_from_esg_index,0,0,0,0,missing_or_stale,0,0,0,42,56,4,56,0,71,597,excluded_from_esg_index,"layout audit missing or stale for current parsed text; source registry policy: type=sustainability, scope=full_report, tier=excluded, include_in_esg_index=false; source registry excludes duplicate of ARKO__2022__sustainability_report__01"
110,APC,ARKO PETROLEUM CORP,downloaded,2023,PDF,https://drive.google.com/file/d/1gIqWMh1YWV4_cduTuahQULlOrFm4BW9I/view,APC-ARKO PETROLEUM CORP-2023.pdf,1,1,0,0,source_registry_excluded,exclude_from_esg_index,0,0,0,0,missing_or_stale,0,0,0,37,62,0,62,0,128,596,excluded_from_esg_index,"layout audit missing or stale for current parsed text; source registry policy: type=sustainability, scope=full_report, tier=excluded, include_in_esg_index=false; source registry excludes duplicate of ARKO__2023__sustainability_report__01"
110,APC,ARKO PETROLEUM CORP,downloaded,2024,PDF,https://drive.google.com/file/d/1FEtFqj-U8uFWqcFIiONQ1ydxS9hxx4qP/view,APC-ARKO PETROLEUM CORP-2024.pdf,1,1,0,0,source_registry_excluded,exclude_from_esg_index,0,0,0,0,missing_or_stale,0,0,0,37,66,0,66,0,106,577,excluded_from_esg_index,"layout audit missing or stale for current parsed text; source registry policy: type=sustainability, scope=full_report, tier=excluded, include_in_esg_index=false; source registry excludes duplicate of ARKO__2024__sustainability_report__01"
60,VSXY,VICTORIAS SECRET AND CO,downloaded,2026,PDF,https://drive.google.com/file/d/1-SErEZJINdEH85w8-iVF1INHXygmmvSa/view,VSXY-Victorias Secret-2026.pdf,1,1,0,0,source_registry_excluded,exclude_from_esg_index,0,0,0,0,missing_or_stale,0,0,0,4,30,0,30,0,203,501,excluded_from_esg_index,"layout audit missing or stale for current parsed text; source registry policy: type=program_impact_report, scope=topic_specific, tier=specialized, include_in_esg_index=false; source registry excludes specialized/topic-specific source from company-wide ESG"
125,AAP,ADVANCE AUTO PARTS INC,downloaded,2021,PDF,https://drive.google.com/file/d/1Mcc6pv1njMKbkxvZ2lCJPg4jKYcEe_7b/view,AAP-ADVANCE AUTO PARTS INC-2021.pdf,1,1,0,0,needs_review,manual_review_before_indexing,0,0,0,0,missing_or_stale,0,0,0,33,74,1,74,0,70,542,needs_review,layout audit missing or stale for current parsed text
125,AAP,ADVANCE AUTO PARTS INC,downloaded,2022,PDF,https://drive.google.com/file/d/1Lb3KFmr6IFI8O9n8oPDBGTeQrJBKI2sy/view,AAP-ADVANCE AUTO PARTS INC-2022.pdf,1,1,0,0,needs_review,manual_review_before_indexing,0,0,0,0,missing_or_stale,0,0,0,31,75,1,75,0,99,583,needs_review,layout audit missing or stale for current parsed text
189,AAPL,APPLE INC,downloaded,2021,PDF,https://drive.google.com/file/d/1Tl7eJi-89LIlZTYF6jDTaVx92Q7XKSNn/view,AAPL-APPLE INC-2021.pdf,1,1,0,0,needs_review,manual_review_before_indexing,0,0,0,0,missing_or_stale,0,0,0,77,114,8,114,0,70,576,needs_review,layout audit missing or stale for current parsed text
189,AAPL,APPLE INC,downloaded,2022,PDF,https://drive.google.com/file/d/1EXE28nIM2WJT5_7kWxS2UeaW6qSUdxP2/view,AAPL-APPLE INC-2022.pdf,1,1,0,0,needs_review,manual_review_before_indexing,0,0,0,0,missing_or_stale,0,0,0,120,183,10,183,0,59,597,needs_review,layout audit missing or stale for current parsed text
189,AAPL,APPLE INC,downloaded,2023,PDF,https://drive.google.com/file/d/111o6w7mep368j6wjt6CIbPkbbRfjx928/view,AAPL-APPLE INC-2023.pdf,1,1,0,0,needs_review,manual_review_before_indexing,0,0,0,0,missing_or_stale,0,0,0,80,213,5,213,0,55,586,needs_review,layout audit missing or stale for current parsed text
