item_id,review_version,review_stratum,ticker,pdf_file,pdf_stem,page,source_pdf,source_sha256,image_path,image_sha256,parsed_text_file,page_map_file,current_text_sha256,expected_verdict,issue_codes,reviewer_confidence,evidence
recovery_review_001_NKE_p165,esg_recovery_terra_review_v1,boundary_risk,NKE,NKE-NIKE INC -CL B-2023.pdf,NKE-NIKE INC -CL B-2023,165,data/01_raw/sustainability/NKE/NKE-NIKE INC -CL B-2023.pdf,cf68e0a2fcf537037b354186fb5f4e2abbf2a7c55bf85caf09553a25b0e32d71,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_001_NKE_p165.png,ad374ab08c244b020b773fa12a4968c53bca41aa578c42619875a1751a7f3d60,data/02_interim/esg_text/NKE/NKE-NIKE INC -CL B-2023.txt,data/02_interim/esg_text/NKE/NKE-NIKE INC -CL B-2023.pages.csv,07fe35c338635a220b12ac808b147d8b5569467388071673e67af97896c90896,safe,,high,The rendered page is one complete FY15–FY23 table; every visible row label and its values appear in the correct sequence.
recovery_review_002_SHOO_p29,esg_recovery_terra_review_v1,boundary_risk,SHOO,SHOO-MADDEN STEVEN LTD-2023.pdf,SHOO-MADDEN STEVEN LTD-2023,29,data/01_raw/sustainability/SHOO/SHOO-MADDEN STEVEN LTD-2023.pdf,b9035e75f019538b1d37ccb3eb4f2356ad48a1cc4c8d7e37e6b6ab9f6dcd6bb5,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_002_SHOO_p29.png,f113b89e8b93b3d82ed9b69b384346f438402fcb918e8b72ef7e15b1a19f23a4,data/02_interim/esg_text/SHOO/SHOO-MADDEN STEVEN LTD-2023.txt,data/02_interim/esg_text/SHOO/SHOO-MADDEN STEVEN LTD-2023.pages.csv,2fb1f22b9fca2b4aa3bb5290eca1896d7615d66276561ddb4cd3d1e143911967,unsafe,interleaved_regions;detached_heading;broken_table_links;wrong_number_link,high,"The map’s regional panels are interleaved: EAST ASIA’s category values follow the EMEA heading, so region headings, category rows, and percentages no longer stay together."
recovery_review_003_GROV_p41,esg_recovery_terra_review_v1,boundary_risk,GROV,GROV-GROVE COLLABORATIVE HLDG INC-2023.pdf,GROV-GROVE COLLABORATIVE HLDG INC-2023,41,data/01_raw/sustainability/GROV/GROV-GROVE COLLABORATIVE HLDG INC-2023.pdf,2c4d87e1cf83d9c56e3202a1e0b9077146869f1b87f76d772265cec2ed072c4f,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_003_GROV_p41.png,8a446d08c3d61fbe31f577fb547d069c14b66891524973d77fd1f7c41dc5fddb,data/02_interim/esg_text/GROV/GROV-GROVE COLLABORATIVE HLDG INC-2023.txt,data/02_interim/esg_text/GROV/GROV-GROVE COLLABORATIVE HLDG INC-2023.pages.csv,8e029bc02f8b7b63931937e51e3ab2bb96de74f3328cf2d6fb799d06217fdb9d,unsafe,interleaved_regions;detached_heading;wrong_number_link,high,"The left quote, center paragraph, lower statement, and 2023-partner statistics are interleaved; the 48% value is separated from its vendor claim by unrelated text."
recovery_review_004_WRBY_p21,esg_recovery_terra_review_v1,boundary_risk,WRBY,WRBY-WARBY PARKER INC-2024.pdf,WRBY-WARBY PARKER INC-2024,21,data/01_raw/sustainability/WRBY/WRBY-WARBY PARKER INC-2024.pdf,f25f6e591495f7128b74d742e5dbf7ce754c221a563d93963d5c223ab77f0e1f,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_004_WRBY_p21.png,dec56398818b7680e96f6e75c6f81a12b720d9814c222241927182450008ab1a,data/02_interim/esg_text/WRBY/WRBY-WARBY PARKER INC-2024.txt,data/02_interim/esg_text/WRBY/WRBY-WARBY PARKER INC-2024.pages.csv,9c5e6cfe762b3f60d212f3f2949ebdd91befd9dbb10949113ba35000d316030d,unsafe,interleaved_regions;wrong_number_link,high,"The three result cards are interleaved: the middle and right card lead-ins appear before the left card's 1 in 2 result, detaching values from their card claims."
recovery_review_005_DECK_p197,esg_recovery_terra_review_v1,layout_complex,DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,DECK-DECKERS OUTDOOR CORP-2024,197,data/01_raw/sustainability/DECK/DECK-DECKERS OUTDOOR CORP-2024.pdf,cdf9208625d8be61065dfcefa050af66398a39e759930592bcaf6a5547068370,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_005_DECK_p197.png,af76f9b031f15f203da1b75b473d91b49303e1fc8c68a86a7b6cf52c2e25ddf1,data/02_interim/esg_text/DECK/DECK-DECKERS OUTDOOR CORP-2024.txt,data/02_interim/esg_text/DECK/DECK-DECKERS OUTDOOR CORP-2024.pages.csv,be91e671b2b0e731b1c84417bdf9cd6087d31a6450b53055e89a6b08a2434a8d,unsafe,broken_table_links,high,"Supplier-table fields are extracted in a mixed order within rows; for example, row 219's address and brands precede its supplier number and other values, breaking reliable row links."
recovery_review_006_GES_p92,esg_recovery_terra_review_v1,layout_complex,GES,GES-GUESS-2023-2022.pdf,GES-GUESS-2023-2022,92,data/01_raw/sustainability/GES/GES-GUESS-2023-2022.pdf,dba71c7d82e2bb6129636def3bcd134a75accd6d4f75ca9d39d692fd16a36d9b,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_006_GES_p92.png,9508118bad4c8010587b17f5cf353c46be79b3a707bbd35cf76599efb689fa2e,data/02_interim/esg_text/GES/GES-GUESS-2023-2022.txt,data/02_interim/esg_text/GES/GES-GUESS-2023-2022.pages.csv,7ca4e03276bb1d7615d72be51341690682219df39156bf330d39285857afa320,safe,,high,"The salary-ratio table, its grouped rows, regional FY2022/FY2023 values, and the footnote are present in a readable order with values linked to the correct rows."
recovery_review_007_VZ_p19,esg_recovery_terra_review_v1,layout_complex,VZ,VZ-VERIZON COMMUNICATIONS INC-2023.pdf,VZ-VERIZON COMMUNICATIONS INC-2023,19,data/01_raw/sustainability/VZ/VZ-VERIZON COMMUNICATIONS INC-2023.pdf,ad3c6c0bfd88fbc053c967e01e4e924c29a6b5fa1327997cd9308197703489f0,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_007_VZ_p19.png,b6b3181cb54bab2d7ae919490ae7382b779aaf7ee74d497d707e0d9cafb33333,data/02_interim/esg_text/VZ/VZ-VERIZON COMMUNICATIONS INC-2023.txt,data/02_interim/esg_text/VZ/VZ-VERIZON COMMUNICATIONS INC-2023.pages.csv,bbb3b0bb2d2a157faa884d8e95440f9dbb013e2b353c53e1cffaa72c335b8773,unsafe,interleaved_regions;broken_table_links,high,The Global gender by position and U.S. race/ethnicity tables are merged row by row: repeated role labels and both tables' values occur on the same extracted lines instead of as self-contained tables.
recovery_review_008_GROV_p53,esg_recovery_terra_review_v1,layout_complex,GROV,GROV-GROVE COLLABORATIVE HLDG INC-2024.pdf,GROV-GROVE COLLABORATIVE HLDG INC-2024,53,data/01_raw/sustainability/GROV/GROV-GROVE COLLABORATIVE HLDG INC-2024.pdf,b3744eba4265e4d595bdad5c5f96073d15e78c24c5a7334da512266d2dd6d612,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_008_GROV_p53.png,9715062618265ae5da579f85586e0c4f0f792d7c24305a9e2091d27ceb1b06d0,data/02_interim/esg_text/GROV/GROV-GROVE COLLABORATIVE HLDG INC-2024.txt,data/02_interim/esg_text/GROV/GROV-GROVE COLLABORATIVE HLDG INC-2024.pages.csv,4f5cb145cd3f6a5b13b7a2fbb6549e4a09b6596601128052e83bf2acc6bb7bff,safe,,high,"All vendor-diversity table sections, their row labels, yearly values, percentage-point changes, and the explanatory note are present with intact links. Side-by-side panels remain understandable."
recovery_review_009_M_p10,esg_recovery_terra_review_v1,random_control,M,M-MACY'S INC-2023.pdf,M-MACY'S INC-2023,10,data/01_raw/sustainability/M/M-MACY'S INC-2023.pdf,dd3f2cc3ecda065b59105e9e9c9ca2ff1f57ac4d06264ba62eb4d0179ac84b6e,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_009_M_p10.png,7409d9035f42bd25c101f628585434c837474584b95a594c44e8667774f8ac03,data/02_interim/esg_text/M/M-MACY'S INC-2023.txt,data/02_interim/esg_text/M/M-MACY'S INC-2023.pages.csv,a360288560250027403e1d23043d2181c8c46597d444d51db897e52382513f3f,safe,,high,"The four highlights sections appear in page order, and each percentage or dollar figure remains attached to its visible statement. Minor character-recognition errors do not change the meaning."
recovery_review_010_HD_p105,esg_recovery_terra_review_v1,random_control,HD,HD-HOME DEPOT INC-2023.pdf,HD-HOME DEPOT INC-2023,105,data/01_raw/sustainability/HD/HD-HOME DEPOT INC-2023.pdf,2b4e6685136cf0bd804aedcdf7ee3a04182dacb6e04faa6218348b46bf21a519,reports/esg_recovery_candidate/terra_review_v1/images/recovery_review_010_HD_p105.png,f5525fd681134debc3cd563efa148d748db9b1b7bbce26a1238177406d9bdbde,data/02_interim/esg_text/HD/HD-HOME DEPOT INC-2023.txt,data/02_interim/esg_text/HD/HD-HOME DEPOT INC-2023.pages.csv,bbd6b8a403179e21f49bceed786f0b398962256a40327200cf67c603aba12e77,safe,,high,"The SASB text and the six-column table match the visible page; each metric, response, reference, and numeric value remains linked to its row."
