"ticker","pdf_file"
"AAPL","AAPL-APPLE INC-2014.pdf"
"AN","AN-AUTONATION INC-2022.pdf"
"ARKO","ARKO-ARKO CORP-2023.pdf"
"AZO","AZO-AUTOZONE INC-2022.pdf"
"BBBY","BBBY-BED BATH & BEYOND INC-2021.pdf"
"BJ","BJ-BJS WHSL CLUB HLDGS INC-2022.PDF"
"BURL","BURL-BURLINGTON STORES INC-2019.pdf"
"CRMT","CRMT-AMERICA'S CAR-MART INC-2021.pdf"
"CRMT","CRMT-AMERICA'S CAR-MART INC-2024.pdf"
"DECK","DECK-DECKERS OUTDOOR CORP-2024.pdf"
"DELL","DELL-DELL TECHNOLOGIES INC-2020.pdf"
"EYE","EYE-NATIONAL VISION HOLDINGS INC-2023.pdf"
"FIVE","FIVE-FIVE BELOW INC-2022.pdf"
"GCO","GCO-GENESCO INC-2021.pdf"
"GCO","GCO-GENESCO INC-2024.pdf"
"GES","GES-GUESS-2021-2020.pdf"
"GROV","GROV-GROVE COLLABORATIVE HLDG INC-2024.pdf"
"HD","HD-HOME DEPOT INC-2016.pdf"
"KR","KR-KROGER CO-2020.pdf"
"LEVI","LEVI-LEVI STRAUSS & CO-2022.pdf"
"LOVE","LOVE-LOVESAC CO (THE)-2021.pdf"
"LOVE","LOVE-LOVESAC CO (THE)-2022.pdf"
"LULU","LULU-LULULEMON ATHLETICA INC-2020.pdf"
"M","M-MACY'S INC-2024.pdf"
"MHK","MHK-MOHAWK INDUSTRIES INC-2025.pdf"
"MNRO","MNRO-MONRO INC-2024.pdf"
"MUSA","MUSA-MURPHY USA INC-2022.pdf"
"PAG","PAG-PENSKE AUTOMOTIVE GROUP INC-2020.pdf"
"PSMT","PSMT-PRICESMART INC-2021.pdf"
"PTRN","PTRN-Pattern Group-2022.pdf"
"PVH","PVH-PVH CORP-2015.pdf"
"PVH","PVH-PVH CORP-2020.pdf"
"PVH","PVH-PVH CORP-2024.pdf"
"SBH","SBH-SALLY BEAUTY HOLDINGS INC-2023.pdf.pdf"
"SONO","SONO-SONOS INC-2022.pdf"
"SONO","SONO-SONOS INC-2025.pdf"
"SVV","SVV-Savers Value Village-2025.pdf"
"TGT","TGT-TARGET CORP-2017.pdf"
"TSCO","TSCO-TRACTOR SUPPLY CO-2020.pdf"
"TSCO","TSCO-TRACTOR SUPPLY CO-2021.pdf"
"UAA","UAA-UNDER ARMOUR INC-2021.pdf"
"ULTA","ULTA-ULTA BEAUTY INC-2022.pdf"
"UPBD","UPD-UPBOUND GROUP INC-2022.pdf"
"VFC","VFC-VF CORP-2017.pdf"
"VFC","VFC-VF CORP-2024-2025.pdf"
"WRBY","WRBY-WARBY PARKER INC-2025.pdf"
"WSM","WSM-WILLIAMS-SONOMA INC-2019.pdf"
"WSM","WSM-WILLIAMS-SONOMA INC-2021.pdf"
"WSM","WSM-WILLIAMS-SONOMA INC-2023.pdf"
"XOM","XOM-EXXON MOBIL CORP-2025.pdf"
