ticker,docs,parsed_docs,ocr_required_docs,chars,pages,sections,chunks,fallback_docs,low_conf_sections,sections_per_100k_chars,chars_per_section,chunks_per_section
DECK,5,5,0,2491049,962,82,1595,0,0,3.291785910273142,30378.646341463416,19.451219512195124
ETSY,4,4,0,1322631,347,48,645,0,0,3.629130120192253,27554.8125,13.4375
NKE,4,4,0,1419361,671,56,757,0,0,3.945437418669387,25345.73214285714,13.517857142857142
AAPL,5,5,0,1732745,502,69,912,0,0,3.9821208544823388,25112.246376811596,13.217391304347826
TGT,5,5,0,1583521,493,72,781,0,0,4.546829502103224,21993.347222222223,10.847222222222221
AMZN,5,5,0,1372930,389,66,656,0,1,4.8072370769085095,20801.969696969696,9.93939393939394
DELL,5,5,0,1384068,528,67,708,0,0,4.8408026195244735,20657.731343283584,10.567164179104477
GES,4,4,0,1227566,299,60,715,0,0,4.887720904619385,20459.433333333334,11.916666666666666
COST,3,3,0,833064,371,45,422,0,0,5.4017458442568635,18512.533333333333,9.377777777777778
HD,4,4,0,1083666,486,59,555,0,0,5.444481971382326,18367.22033898305,9.40677966101695
WMT,5,5,0,1215427,377,69,589,0,0,5.677017212880741,17614.884057971016,8.53623188405797
WHR,5,5,0,1196549,490,77,589,0,0,6.435173152123315,15539.597402597403,7.64935064935065
PTRN,4,4,0,894748,458,58,499,0,0,6.4822721034302395,15426.689655172413,8.60344827586207
VZ,4,4,0,835567,282,55,406,0,0,6.582356651232038,15192.127272727274,7.381818181818182
RL,5,5,0,1090283,436,72,539,0,0,6.603790025158605,15142.819444444445,7.486111111111111
KR,5,5,0,1179769,335,78,583,0,0,6.611463769602355,15125.24358974359,7.4743589743589745
TJX,5,5,0,1213073,469,82,568,0,0,6.759692120754481,14793.573170731708,6.926829268292683
GAP,5,5,0,1178153,351,80,617,0,0,6.7902895464341215,14726.9125,7.7125
PVH,4,4,0,842881,335,58,463,0,0,6.881161160353597,14532.431034482759,7.982758620689655
ANF,3,3,0,374720,131,26,180,0,0,6.938514090520923,14412.307692307691,6.923076923076923
BBWI,4,4,0,857916,341,61,430,0,1,7.110253218263792,14064.196721311475,7.049180327868853
MOV,5,5,0,672427,364,50,340,0,0,7.435751390113722,13448.54,6.8
LOW,4,4,0,723003,245,54,358,0,0,7.468848676976444,13388.944444444445,6.62962962962963
VSXY,6,6,0,898904,371,68,468,0,0,7.564767761629718,13219.176470588236,6.882352941176471
FL,3,3,0,616335,211,47,303,0,0,7.625723024004802,13113.510638297872,6.446808510638298
EYE,4,4,0,717556,307,56,344,0,0,7.804268935107504,12813.5,6.142857142857143
MELI,5,5,0,685668,357,54,362,0,2,7.87553159838289,12697.555555555555,6.703703703703703
LULU,3,3,0,581594,207,46,310,0,0,7.909297551212702,12643.347826086956,6.739130434782608
KTB,3,3,0,463919,183,37,232,0,0,7.9755302110928845,12538.351351351352,6.27027027027027
LEVI,4,4,0,583663,333,48,284,0,1,8.22392373681388,12159.645833333334,5.916666666666667
PLCE,3,3,0,487591,243,41,255,0,0,8.408686788722514,11892.463414634147,6.219512195121951
TPR,5,5,0,850448,391,73,429,0,1,8.583711173405076,11649.972602739726,5.876712328767123
CROX,5,5,0,825400,232,75,449,0,0,9.086503513448026,11005.333333333334,5.986666666666666
UAA,2,2,0,263324,125,24,138,0,0,9.114247087238535,10971.833333333334,5.75
VFC,4,4,0,660025,320,61,337,0,0,9.24207416385743,10820.081967213115,5.524590163934426
MHK,4,4,0,622896,311,58,313,0,0,9.311345714212324,10739.586206896553,5.396551724137931
XOM,5,5,0,600149,228,57,288,0,2,9.497641419047604,10528.929824561403,5.052631578947368
WRBY,5,5,0,787102,446,75,408,0,0,9.528625260766711,10494.693333333333,5.44
BBY,5,5,0,868395,446,83,448,0,1,9.55786249345056,10462.590361445784,5.397590361445783
DKS,2,2,0,322311,164,31,175,0,1,9.618039719401446,10397.129032258064,5.645161290322581
SHOO,4,4,0,456187,256,44,325,1,2,9.645167442298881,10367.886363636364,7.386363636363637
KSS,4,4,0,623709,290,61,302,0,0,9.780201985220673,10224.737704918032,4.950819672131147
ASO,1,1,0,97844,40,10,48,0,0,10.220350762438168,9784.4,4.8
CASY,5,5,0,680258,299,70,329,0,0,10.29021341902631,9717.971428571429,4.7
SNBR,5,5,0,659887,329,69,324,0,0,10.456335705961779,9563.579710144928,4.695652173913044
AAP,2,2,0,256527,127,27,137,0,0,10.52520787285549,9501.0,5.074074074074074
M,5,5,0,721558,345,76,359,0,1,10.532763824945464,9494.184210526315,4.723684210526316
CRI,5,5,0,757285,360,80,412,0,0,10.564054484111,9466.0625,5.15
OXM,1,1,0,113379,52,12,60,0,0,10.583970576561796,9448.25,5.0
WOOF,4,4,0,504361,263,54,239,0,0,10.706616887507161,9340.018518518518,4.425925925925926
LOVE,5,5,0,488924,203,53,246,1,1,10.840130572440707,9224.981132075472,4.6415094339622645
SGC,5,5,0,431761,205,47,229,0,0,10.885652015814305,9186.404255319148,4.872340425531915
JWN,4,4,0,465652,210,51,231,0,0,10.95238504290758,9130.43137254902,4.529411764705882
DLTR,5,5,0,645892,259,71,313,0,0,10.99254983805342,9097.070422535211,4.408450704225352
LE,1,1,0,118239,57,13,64,0,0,10.994680266240412,9095.307692307691,4.923076923076923
ROST,4,4,0,492688,239,55,236,0,2,11.163251388302536,8957.963636363636,4.290909090909091
ORLY,1,1,0,106596,51,12,60,0,0,11.257458065968704,8883.0,5.0
CVS,4,4,0,397289,195,46,197,0,0,11.578473101445045,8636.717391304348,4.282608695652174
TSCO,2,2,0,177851,72,21,87,0,0,11.807636729621986,8469.095238095239,4.142857142857143
NWL,5,5,0,616584,255,73,309,0,0,11.839424960751495,8446.356164383562,4.232876712328767
AZO,6,6,0,697992,359,84,380,0,1,12.034521885637657,8309.42857142857,4.523809523809524
RCKY,1,1,0,107282,51,13,51,0,0,12.11759661452993,8252.461538461539,3.923076923076923
BURL,4,4,0,386207,151,47,213,1,1,12.169639597417966,8217.170212765957,4.531914893617022
WSM,3,3,0,400005,175,49,239,0,2,12.249846876914038,8163.367346938776,4.877551020408164
FOSL,4,4,0,365643,240,45,194,0,0,12.307086420360845,8125.4,4.311111111111111
UEIC,3,3,0,316035,126,39,150,0,0,12.340405334852154,8103.461538461538,3.8461538461538463
PSMT,5,5,0,491480,314,61,253,0,0,12.411491820623423,8057.049180327869,4.147540983606557
GROV,5,5,0,575418,343,72,327,0,0,12.512642983014086,7991.916666666667,4.541666666666667
WWW,4,4,0,429053,192,54,223,0,0,12.585857691240943,7945.425925925926,4.12962962962963
LEG,5,5,0,560141,272,71,272,0,0,12.675379948977133,7889.30985915493,3.8309859154929575
GRPN,1,1,0,92764,58,12,48,0,1,12.936052779095338,7730.333333333333,4.0
KMX,6,6,0,608706,226,79,300,0,2,12.978350796607886,7705.139240506329,3.7974683544303796
JILL,1,1,0,91752,41,12,48,0,0,13.078733978550876,7646.0,4.0
CRMT,4,4,0,348399,127,46,164,0,0,13.203252592573458,7573.891304347826,3.5652173913043477
SGI,5,5,0,472443,162,63,234,0,1,13.334941993002332,7499.0952380952385,3.7142857142857144
LAD,5,5,0,357567,189,48,185,0,1,13.424057589207056,7449.3125,3.8541666666666665
ULTA,5,5,0,523542,252,71,270,0,1,13.561471667984613,7373.830985915493,3.8028169014084505
BBW,2,2,0,138125,63,19,66,0,0,13.755656108597284,7269.736842105263,3.473684210526316
URBN,3,3,0,199050,97,28,102,0,0,14.066817382567194,7108.928571428572,3.642857142857143
FIGS,5,5,0,243788,195,35,130,0,0,14.356736180615945,6965.371428571429,3.7142857142857144
APC,4,4,0,370951,189,55,201,0,0,14.8267560944707,6744.563636363637,3.6545454545454548
ARKO,4,4,0,370951,189,55,201,0,0,14.8267560944707,6744.563636363637,3.6545454545454548
VRA,5,5,0,376931,206,56,188,0,1,14.856830560500462,6730.910714285715,3.357142857142857
MUSA,4,4,0,282011,147,42,141,0,0,14.893036087244825,6714.547619047619,3.357142857142857
T,5,5,0,400267,156,60,215,0,0,14.989994178885594,6671.116666666667,3.5833333333333335
BRLT,3,3,0,293491,150,44,153,0,2,14.991941831265695,6670.25,3.477272727272727
EBAY,5,5,0,404224,213,61,206,0,0,15.090642811906271,6626.622950819672,3.377049180327869
