ticker,pdf_stem,section_code,section_title,section_file,source_start_char,source_end_char,page_start,page_end,char_count,word_count,split_method,confidence
AAP,AAP-ADVANCE AUTO PARTS INC-2021,about_this_report,ABOUT,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__about_this_report.txt,11261,120568,6,61,10482,1559,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,appendix,APPENDIX B – EVIRONMENTAL DEFINITIONS,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__appendix.txt,121052,128992,62,64,7944,1091,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,ceo_letter,03 LETTER FROM OUR CEO,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__ceo_letter.txt,74,11254,2,5,11183,1728,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,community,COMMUNITY GOVERNANCE,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__community.txt,16026,98515,8,52,14050,2114,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,data_summary,INSTITUTING A TRAINING SCORECARD,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__data_summary.txt,42809,44059,25,26,1261,192,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,diversity_equity_inclusion,INCLUSION,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__diversity_equity_inclusion.txt,17910,89131,9,48,15245,2379,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,emissions,SETTING SCIENCE-BASED EMISSIONS TARGETS,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__emissions.txt,73725,75654,41,42,1932,318,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,energy,WIND ENERGY,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__energy.txt,75668,77566,42,42,1921,294,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,environmental,PEOPLE PLANET,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__environmental.txt,14571,16025,8,8,1454,217,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,ethics_compliance,ETHICAL STANDARDS & COMPLIANCE,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__ethics_compliance.txt,102538,121042,54,61,6549,966,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,governance,BOARD OF DIRECTORS COMPOSITION BOARD REFRESHMENT AND RECRUITMENT,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__governance.txt,98526,110660,53,56,6051,904,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,human_capital,PEOPLE,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__human_capital.txt,18930,85874,11,47,41261,6541,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,supply_chain_ethics,"EXECUTIVE VICE PRESIDENT, CHIEF SUPPLY CHAIN",data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__supply_chain_ethics.txt,72721,111763,39,56,2108,311,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2021,waste,RECYCLING,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2021__waste.txt,77587,117973,43,58,7539,1149,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,about_this_report,ABOUT,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__about_this_report.txt,11581,126889,7,63,9570,1411,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,ceo_letter,03 LETTER FROM OUR CEO,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__ceo_letter.txt,63,11514,2,6,8898,1363,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,climate,CDP’s annual climate change,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__climate.txt,81154,81539,39,40,385,39,heading_regex,medium
AAP,AAP-ADVANCE AUTO PARTS INC-2022,community,COMMUNITY EMPLOYMENT AWARD Auto Care Association’s Business-to-Consumer: Best Consumer/,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__community.txt,15480,109426,8,55,15791,2254,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,data_summary,1 • Launched scorecard process,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__data_summary.txt,67002,67327,32,32,325,52,heading_regex,medium
AAP,AAP-ADVANCE AUTO PARTS INC-2022,diversity_equity_inclusion,"DEI Corporate Governance Committee, which",data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__diversity_equity_inclusion.txt,17920,67001,9,32,20971,3098,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,emissions,EMISSIONS,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__emissions.txt,84893,86161,42,42,1268,204,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,energy,RENEWABLE ENERGY,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__energy.txt,86181,87188,42,42,1035,147,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,environmental,"CARE FOR OUR PEOPLE, PLANET",data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__environmental.txt,5044,94596,4,46,7639,1094,heading_regex,high
