accession_number,ticker,last_checked_at,n_filings_known,download_status,drive_file_id
0001628280-26-018573,GAP,2026-06-30T10:25:43.208252+00:00,1,downloaded,1n1xyCKGfBXHlIUx9ZhQYV7Ev13A7Ykqj
0000039911-25-000029,GAP,2026-06-30T10:25:50.639459+00:00,1,downloaded,1pZnhJ5Ji9b4Mmr2YTxWrBrWEi8C4a2bj
0000039911-24-000066,GAP,2026-06-30T10:25:54.690632+00:00,1,downloaded,1L3V1o6FnVSOyoJq5hlHvDUaaU0Xk4sir
0000028917-26-000006,DDS,2026-06-30T10:27:20.905488+00:00,1,downloaded,19FXjoLmwOYN-CTrhA_AZ0IA_ylmNwNVS
0000028917-25-000004,DDS,2026-06-30T10:27:29.077349+00:00,1,downloaded,1HUWFjHwHxc1Zq25G3aHx2wgQzvr5B8Qv
0000028917-24-000011,DDS,2026-06-30T10:27:33.892257+00:00,1,downloaded,1kQ7r_GIREmjpfh9VWB3iCF8ZziXRpGu1
0001628280-26-021721,M,2026-06-30T10:28:41.554411+00:00,1,downloaded,1TRmnhzfOL0WSv_bg5N7ZjT7M5_jxkSZ8
0001628280-25-014315,M,2026-06-30T10:28:51.988660+00:00,1,downloaded,1nVSxnCjyNK81XZFVP-pOBR9v-sfHAjsg
0001628280-24-012734,M,2026-06-30T10:28:57.440280+00:00,1,downloaded,1etsn7r3DIQoEVFbjiGsNpR8Na2suvCNq
0001193125-26-115982,KSS,2026-06-30T10:29:41.607356+00:00,1,downloaded,1DJQYTlHvnCYILM0_iNis3ym9KTficWTm
0000950170-25-042662,KSS,2026-06-30T10:30:21.733059+00:00,1,downloaded,10CFvuF4W3-u9S695QpJEJ7uVM0eQwG0v
0000950170-24-034691,KSS,2026-06-30T10:31:02.601968+00:00,1,downloaded,10XWTDDiqoaDETCtgOH3PIWzxcPMKhF_I
0001834584-26-000024,CPNG,2026-06-30T10:31:28.898469+00:00,1,downloaded,1bqYTvj76x8P7BKOYgLgEd25WRw83z161
0001834584-25-000030,CPNG,2026-06-30T10:32:00.841737+00:00,1,downloaded,1504CiJnnLU4xaomLJBrlJSqqDtMojILQ
0001834584-24-000023,CPNG,2026-06-30T10:32:34.240763+00:00,1,downloaded,1VrgTrtJPsjzpXIpBRWzMEcVVJLM1yrqq
0001600641-26-000007,DIBS,2026-06-30T10:33:12.167889+00:00,1,downloaded,1QVSlTCXqmqWrI4_KDSJc99N3Vj9P_Du9
0001600641-25-000011,DIBS,2026-06-30T10:33:48.294648+00:00,1,downloaded,1FZEcmaj9qRsxu_o_nNwHvUM0DKBYelic
0001600641-24-000022,DIBS,2026-06-30T10:34:03.008974+00:00,1,downloaded,1wM_hUGJkfEHwBfIxUjiW68B9y5MEQ8_w
0001140361-26-010409,OLLI,2026-06-30T10:34:29.136063+00:00,1,downloaded,1tTmrW7yvUJEfBKi6C2CQkQQyjB4AeVaw
0001140361-25-010442,OLLI,2026-06-30T10:34:39.595647+00:00,1,downloaded,1GyqtCVBwsxwh7IkhevLGpdTU2ODRy4Ld
0001140361-24-015681,OLLI,2026-06-30T10:34:45.603907+00:00,1,downloaded,1KIxGxlnWwSbdtbEcXLyLbIxLhlfzqefK
0001018724-26-000004,AMZN,2026-06-30T10:34:50.368709+00:00,1,downloaded,1h_nBbKTwIBwFT4aJljiSTEZ9q-OEynzw
0001018724-25-000004,AMZN,2026-06-30T10:34:58.911101+00:00,1,downloaded,1h7VifKifA00P-9yhq6P9LXj4zpOcGFMI
0001018724-24-000008,AMZN,2026-06-30T10:35:03.151612+00:00,1,downloaded,1QPAbPQwnPdCJnATiEkug03ABH6ylAGxz
0001065088-26-000027,EBAY,2026-06-30T10:35:07.673982+00:00,1,downloaded,1ux7p5PYVwRpnXGvhYjIOIim5fB71ts5j
0001065088-25-000037,EBAY,2026-06-30T10:35:16.617544+00:00,1,downloaded,1wtuUlvYTe3y5YkA41DSOWWi-Nb43CPHP
0001065088-24-000036,EBAY,2026-06-30T10:35:24.217198+00:00,1,downloaded,1QwvCCv4XaPtOo1F66gyzdK623ZVilmlD
0001099590-26-000006,MELI,2026-06-30T10:35:29.597260+00:00,1,downloaded,1g5FcVbUnjl-Cvjvg9MIh2BR6T2na8vx8
0001099590-25-000007,MELI,2026-06-30T10:35:42.212533+00:00,1,downloaded,1Bv9qcJTqvJHm0PGoC-JyeYmv_jFqHeVm
0001099590-24-000008,MELI,2026-06-30T10:35:49.225521+00:00,1,downloaded,1m1vMWmHAIIpNxrlyDoQyKAUWRy-Drb9S
0001628280-26-016429,GRPN,2026-06-30T10:35:55.546569+00:00,1,downloaded,1P3RWiQfbFDAjgfYIp_w7BrCw-NFV4wQl
0001490281-25-000005,GRPN,2026-06-30T10:36:08.506858+00:00,1,downloaded,1kB-MJJ7rDiCbVVaAGVXluNArfKbW7HMJ
0001490281-24-000024,GRPN,2026-06-30T10:36:13.426307+00:00,1,downloaded,1UWC-2Lt18TGw730RhYIaqhLMRyxNai1Y
0000072333-25-000039,JWN,2026-06-30T10:36:17.981935+00:00,1,downloaded,1d7A9wDqXJC9qN06fnwye3Ze4CZe-bfwQ
0000072333-24-000031,JWN,2026-06-30T10:36:29.009959+00:00,1,downloaded,19yKxoOw6emDtGj71TjfFXVHCMZd_12au
0000072333-23-000037,JWN,2026-06-30T10:36:33.306292+00:00,1,downloaded,1IyvXq7IpdgmW8r9LJlJi1Y9HlNTELKIk
0001493152-26-012278,HOUR,2026-06-30T10:36:40.170457+00:00,1,downloaded,1m8jH1NREkNc-tWHCQXlUUj6v8VqyKu9c
0001641172-25-000930,HOUR,2026-06-30T10:36:46.792521+00:00,1,downloaded,1favT3vGphWaOTL8gjfRm8TBP1G8s-OEz
