company_id,ticker,company_name,report_year,format,drive_file_link,status,notes
1,DDS,DILLARDS INC -CL A,,,,not found,"There is no published ""Sustainability Report"", but can find some information from https://investor.dillards.com/static-files/879191ae-f3bb-4cba-98e5-8ed34c41a928"
2,M,MACY'S INC,2025-2024-2023-2022,PDF,M,downloaded,
3,KSS,KOHL'S CORP,2024-2023-2022,PDF,KSS,downloaded,
4,CPNG,COUPANG INC,2024-2023-2022,PDF,CPNG,downloaded,
5,DIBS,1STDIBS.COM INC,,,,not found,"There is no published ""Sustainability Report""."
6,OLLI,OLLIE'S BARGAIN OUTLET HLDGS,,,,not found,"There is no published ""Sustainability Report""."
7,AMZN,AMAZON.COM INC,2025-2024-2023-2022-2021,PDF,AMZN,downloaded,
8,EBAY,EBAY INC,2025-2024-2023-2022-2021,PDF,EBAY,downloaded,
9,MELI,MERCADOLIBRE INC,2025-2024-2023-2022-2021,PDF,MELI,downloaded,
10,GRPN,GROUPON INC,2021,PDF,GRPN,downloaded,Not found from company website
11,JWN,NORDSTROM INC,2024-2023-2022-2021,PDF,JWN,downloaded,
12,HOUR,HOUR LOOP INC,,,,not found,"There is no published ""Sustainability Report""."
13,SVV,SAVERS VALUE VILLAGE INC,2025-2024-2023-2022,PDF,SVV,downloaded,
14,PTRN,PATTERN GROUP INC,2024-2023-2022-2021,PDF,PTRN,downloaded,2024FY in Italian.
15,ETSY,ETSY INC,2025-2024-2023-2022-2021,PDF,ETSY,downloaded,"Year 2025 ontains only climate index, for the other years ESG reporting is in Annual Report, Annual Reports are uploaded to drive"
16,GES,GUESS INC,2025-2024-2023-2022-2021-2020,PDF,GES,downloaded,
17,AEO,AMERN EAGLE OUTFITTERS INC,2024-2023-2022-2021,PDF,AEO,downloaded,
18,TLYS,TILLY'S INC,,,,not found,"There is no published ""Sustainability Report""."
19,CATO,CATO CORP -CL A,,,,not found,"There is no published ""Sustainability Report""."
20,ROST,ROSS STORES INC,2024-2023-2022-2021,PDF,ROST,downloaded,
21,TJX,TJX COS INC (THE),2025-2024-2023-2022-2021,PDF,TJX,downloaded,
