ticker,company_name,clean_status,pdf_rows,note
DDS,DILLARDS INC  -CL A,not_found,0,no PDFs in Drive manifest
M,MACY'S INC,downloaded,4,created one row per Drive PDF
KSS,KOHL'S CORP,downloaded,3,created one row per Drive PDF
CPNG,COUPANG INC,downloaded,3,created one row per Drive PDF
DIBS,1STDIBS.COM INC,not_found,0,no PDFs in Drive manifest
OLLI,OLLIE'S BARGAIN OUTLET HLDGS,not_found,0,no PDFs in Drive manifest
ORBS,EIGHTCO HOLDINGS INC,not_found,0,no PDFs in Drive manifest
AMZN,AMAZON.COM INC,downloaded,5,created one row per Drive PDF
EBAY,EBAY INC,downloaded,5,created one row per Drive PDF
MELI,MERCADOLIBRE INC,downloaded,5,created one row per Drive PDF
GRPN,GROUPON INC,downloaded,1,created one row per Drive PDF
JWN,NORDSTROM INC,downloaded,4,created one row per Drive PDF
HOUR,HOUR LOOP INC,not_found,0,no PDFs in Drive manifest
SVV,SAVERS VALUE VILLAGE INC,downloaded,4,created one row per Drive PDF
PTRN,PATTERN GROUP INC,downloaded,4,created one row per Drive PDF
ETSY,ETSY INC,downloaded,5,created one row per Drive PDF
GPRO,GOPRO INC,downloaded,3,created one row per Drive PDF
KOSS,KOSS CORP,not_found,0,no PDFs in Drive manifest
UEIC,UNIVERSAL ELECTRONICS INC,downloaded,1,created one row per Drive PDF
SONO,SONOS INC,downloaded,4,created one row per Drive PDF
RIME,ALGORHYTHM HOLDINGS INC,not_found,0,no PDFs in Drive manifest
LOVE,LOVESAC CO (THE),downloaded,4,created one row per Drive PDF
ETD,ETHAN ALLEN INTERIORS INC,not_found,0,no PDFs in Drive manifest
HOFT,HOOKER FURNISHINGS CORP,downloaded,2,created one row per Drive PDF
XMAX,XMAX INC,not_found,0,no PDFs in Drive manifest
MHK,MOHAWK INDUSTRIES INC,downloaded,4,created one row per Drive PDF
LZB,LA-Z-BOY INC,downloaded,5,created one row per Drive PDF
FLXS,FLEXSTEEL INDUSTRIES INC,downloaded,2,created one row per Drive PDF
BSET,BASSETT FURNITURE INDS,not_found,0,no PDFs in Drive manifest
LEG,LEGGETT & PLATT INC,downloaded,5,created one row per Drive PDF
PRPL,PURPLE INNOVATION INC,not_found,0,no PDFs in Drive manifest
SGI,SOMNIGROUP INTERNATIONAL INC,downloaded,5,created one row per Drive PDF
LIVE,LIVE VENTURES INC,not_found,0,no PDFs in Drive manifest
WHR,WHIRLPOOL CORP,downloaded,5,created one row per Drive PDF
HBB,HAMILTON BEACH BND HDNG,not_found,0,no PDFs in Drive manifest
CRCT,CRICUT INC,not_found,0,no PDFs in Drive manifest
ATER,ATERIAN INC,not_found,0,no PDFs in Drive manifest
