page,char_start,char_end,char_count
1,0,87,87
2,88,355,267
3,356,798,442
4,799,4629,3830
5,4630,6524,1894
6,6525,8966,2441
7,8967,11802,2835
8,11803,14440,2637
9,14441,14855,414
10,14856,17261,2405
11,17262,20224,2962
12,20225,23122,2897
13,23123,25445,2322
14,25446,27862,2416
15,27863,30478,2615
16,30479,30873,394
17,30874,32723,1849
18,32724,35780,3056
19,35781,37435,1654
20,37436,39062,1626
21,39063,41475,2412
22,41476,43870,2394
23,43871,44300,429
24,44301,46795,2494
25,46796,49137,2341
26,49138,51488,2350
27,51489,53218,1729
28,53219,53680,461
29,53681,55705,2024
30,55706,57352,1646
31,57353,60737,3384
32,60738,63957,3219
33,63958,65341,1383
34,65342,66872,1530
35,66873,67759,886
36,67760,69052,1292
37,69053,70272,1219
38,70273,71224,951
39,71225,71426,201
