ticker,pdf_stem,section_instance_id,section_code,section_title,section_file,source_start_char,source_end_char,provenance_version,page_start,page_end,char_count,word_count,split_method,confidence,source_size_bytes,source_mtime_utc,source_sha256
ETSY,ETSY-Etsy-2024,about_this_report__0001,about_this_report,SASB Disclosure,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__about_this_report__0001.txt,45561,46129,contiguous_v1,13,13,568,83,heading_regex,medium,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,about_this_report__0002,about_this_report,SASB Code Metric,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__about_this_report__0002.txt,49579,50914,contiguous_v1,14,14,1335,201,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,climate__0001,climate,Investing in Climate Solutions,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0001.txt,14805,15887,contiguous_v1,4,5,1082,157,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,climate__0002,climate,Helping Our Sellers Build Climate Resilience,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0002.txt,23183,24685,contiguous_v1,7,7,1502,224,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,climate__0003,climate,The Task Force on Climate-Related Financial Disclosures,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0003.txt,59241,62645,contiguous_v1,17,17,3404,513,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,climate__0004,climate,Processes for identifying and assessing climate-related risks,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0004.txt,74109,76478,contiguous_v1,20,20,2369,366,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,community__0001,community,Creative Community,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__community__0001.txt,38555,41491,contiguous_v1,11,12,2936,449,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,data_summary__0001,data_summary,Workforce Metrics,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0001.txt,31653,33226,contiguous_v1,9,9,1573,266,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,data_summary__0002,data_summary,AGE METRICS - GLOBAL*,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0002.txt,35027,35826,contiguous_v1,10,11,799,146,heading_regex,medium,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,data_summary__0003,data_summary,SASB Metrics,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0003.txt,46130,46837,contiguous_v1,13,13,707,103,heading_regex,medium,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,data_summary__0004,data_summary,Metrics,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0004.txt,53168,53568,contiguous_v1,14,15,400,73,heading_regex,medium,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,data_summary__0005,data_summary,Metrics and Targets,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0005.txt,76479,78740,contiguous_v1,20,20,2261,354,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,diversity_equity_inclusion__0001,diversity_equity_inclusion,Progress On Disability Inclusion,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__diversity_equity_inclusion__0001.txt,30519,31652,contiguous_v1,9,9,1133,178,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,diversity_equity_inclusion__0002,diversity_equity_inclusion,Supplier Diversity,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__diversity_equity_inclusion__0002.txt,35827,38554,contiguous_v1,11,11,2727,407,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,diversity_equity_inclusion__0003,diversity_equity_inclusion,"Employee Recruitment, Inclusion and Performance",data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__diversity_equity_inclusion__0003.txt,50915,53167,contiguous_v1,14,14,2252,353,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,emissions__0001,emissions,ESY te Scope 3 greenhouse gas,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__emissions__0001.txt,7101,11413,contiguous_v1,3,4,4312,703,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,emissions__0002,emissions,Scope 2 - Location',data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__emissions__0002.txt,53569,54042,contiguous_v1,15,15,473,71,heading_regex,medium,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,emissions__0003,emissions,Notes on Our GHG Inventory,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__emissions__0003.txt,55056,59240,contiguous_v1,16,16,4184,660,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,emissions__0004,emissions,Low-Emissions Transport,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__emissions__0004.txt,67680,69518,contiguous_v1,18,19,1838,268,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,energy__0001,energy,Energy Use,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__energy__0001.txt,15888,17908,contiguous_v1,5,5,2020,322,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,energy__0002,energy,"CG- Total energy consumed, MWh (Etsy marketplace)",data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__energy__0002.txt,46838,48401,contiguous_v1,13,13,1563,246,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,energy__0003,energy,The availability of renewable,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__energy__0003.txt,65958,67679,contiguous_v1,18,18,1721,249,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
ETSY,ETSY-Etsy-2024,ethics_compliance__0001,ethics_compliance,Data Privacy and Advertising Standards,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__ethics_compliance__0001.txt,48402,49578,contiguous_v1,13,14,1176,176,heading_regex,high,78758,2026-07-23T13:49:56.391042200Z,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077
