chunk_id,source_id,source_version_id,ticker,canonical_ticker,doc_type,source_type,source_scope,retrieval_tier,include_in_esg_index,duplicate_of_source_id,doc_quality_status,rag_action,quality_flags,pdf_stem,section_code,section_instance_id,chunk_index,chunk_type,short_section_action,short_section_reason,merged_section_ids,token_count,char_count,chunk_file,source_section_file,source_size_bytes,source_mtime_utc,source_sha256,parsed_text_sha256,section_text_sha256,source_start_char,source_end_char,page_start,page_end,citation_ready,citation_validation_status,citation_validation_version
ETSY__ETSY_Etsy_2024__about_this_report__0001__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,about_this_report,about_this_report__0001,0,normal,,,,111,568,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__about_this_report__0001__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__about_this_report__0001.txt,568,2026-07-23T13:50:05.906870Z,15589904f0e77929cdf3748f2f64597d896e714be17c93144f5c736900e04bde,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,15589904f0e77929cdf3748f2f64597d896e714be17c93144f5c736900e04bde,45561,46129,13,13,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__about_this_report__0002__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,about_this_report,about_this_report__0002,0,normal,,,,251,1335,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__about_this_report__0002__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__about_this_report__0002.txt,1335,2026-07-23T13:50:05.919879Z,e523385741ee26a1fc36f6bcb9ee35741d919d1993d4f369dfc03d54693aa09e,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,e523385741ee26a1fc36f6bcb9ee35741d919d1993d4f369dfc03d54693aa09e,49579,50914,14,14,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__climate__0001__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,climate,climate__0001,0,normal,,,,219,1082,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__climate__0001__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0001.txt,1082,2026-07-23T13:50:05.868742Z,85c634778bf6c2fe5b1806940b09d8d403bf220f0fea4457c75a0dd56a7b7262,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,85c634778bf6c2fe5b1806940b09d8d403bf220f0fea4457c75a0dd56a7b7262,14805,15887,4,5,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__climate__0002__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,climate,climate__0002,0,normal,,,,295,1502,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__climate__0002__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0002.txt,1502,2026-07-23T13:50:05.877430Z,6dd8fe6789b7d03a255d09725cb6cdde59c02311e419039b4c92e4fb72ebe16f,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,6dd8fe6789b7d03a255d09725cb6cdde59c02311e419039b4c92e4fb72ebe16f,23183,24685,7,7,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__climate__0003__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,climate,climate__0003,0,normal,,,,500,2518,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__climate__0003__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0003.txt,3404,2026-07-23T13:50:05.937226Z,a37aa14ed8f12a9d9b31c74e3bf1d02dc8d5bb5ebea53a076b3584741af24570,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,a37aa14ed8f12a9d9b31c74e3bf1d02dc8d5bb5ebea53a076b3584741af24570,59241,61759,17,17,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__climate__0003__chunk_0001,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,climate,climate__0003,1,normal,,,,226,1135,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__climate__0003__chunk_0001.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0003.txt,3404,2026-07-23T13:50:05.937226Z,a37aa14ed8f12a9d9b31c74e3bf1d02dc8d5bb5ebea53a076b3584741af24570,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,a37aa14ed8f12a9d9b31c74e3bf1d02dc8d5bb5ebea53a076b3584741af24570,61510,62645,17,17,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__climate__0004__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,climate,climate__0004,0,normal,,,,441,2369,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__climate__0004__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__climate__0004.txt,2369,2026-07-23T13:50:05.950752Z,0a98bd4a994e2eb36dc772d68ef323f12ab931a1ceec575cdcc9f81fafb53f32,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,0a98bd4a994e2eb36dc772d68ef323f12ab931a1ceec575cdcc9f81fafb53f32,74109,76478,20,20,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__community__0001__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,community,community__0001,0,normal,,,,560,2936,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__community__0001__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__community__0001.txt,2936,2026-07-23T13:50:05.896946Z,6fd09b9ddc36b7ddb89bce408f5c60e253a31f7afd19d489d4c9c18f232f0e59,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,6fd09b9ddc36b7ddb89bce408f5c60e253a31f7afd19d489d4c9c18f232f0e59,38555,41491,11,12,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__data_summary__0001__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,data_summary,data_summary__0001,0,normal,,,,409,1573,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__data_summary__0001__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0001.txt,1573,2026-07-23T13:50:05.886974Z,63b405ba1dad0fe77d44efac58bfe819f27a2d73811ed9a5c293f8f8b6aaebcf,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,63b405ba1dad0fe77d44efac58bfe819f27a2d73811ed9a5c293f8f8b6aaebcf,31653,33226,9,9,true,verified_exact,semantic_v1
ETSY__ETSY_Etsy_2024__data_summary__0002__chunk_0000,ETSY__ETSY_Etsy_2024,ETSY__ETSY_Etsy_2024__1c227df19a17,ETSY,ETSY,sustainability,sustainability,full_report,primary,true,,ok,index_as_esg,,ETSY-Etsy-2024,data_summary,data_summary__0002,0,normal,,,,265,799,data/99_debug_etsy/04_chunks/ETSY/ETSY-Etsy-2024__data_summary__0002__chunk_0000.txt,data/99_debug_etsy/03_sections/ETSY/ETSY-Etsy-2024__data_summary__0002.txt,799,2026-07-23T13:50:05.891531Z,465a9ebcf533b3ffb2a6efd9fc784ed4534ea755f72b4f90ca25d0e4a9ccca55,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,465a9ebcf533b3ffb2a6efd9fc784ed4534ea755f72b4f90ca25d0e4a9ccca55,35027,35826,10,11,true,verified_exact,semantic_v1
