company_id,ticker,cik,name,sector,exchange,ipo_date,fiscal_year_end_month,fiscal_year_end_day,fiscal_year_end_source,fiscal_year_end_status
1,DDS,0000028917,DILLARDS INC  -CL A,Broadline Retail,New York Stock Exchange (NYSE),1980-03-17,1,31,yahoo_finance,SOURCE_VERIFIED
2,M,0000794367,MACY'S INC,Broadline Retail,New York Stock Exchange (NYSE),1992-02-05,1,31,yahoo_finance,SOURCE_VERIFIED
3,KSS,0000885639,KOHL'S CORP,Broadline Retail,New York Stock Exchange (NYSE),1992-05-19,1,31,yahoo_finance,SOURCE_VERIFIED
4,CPNG,0001834584,COUPANG INC,Broadline Retail,New York Stock Exchange (NYSE),2021-03-11,12,31,yahoo_finance,SOURCE_VERIFIED
5,DIBS,0001600641,1STDIBS.COM INC,Broadline Retail,NASDAQ-NMS Stock Market,2021-06-10,12,31,yahoo_finance,SOURCE_VERIFIED
6,OLLI,0001639300,OLLIE'S BARGAIN OUTLET HLDGS,Broadline Retail,NASDAQ-NMS Stock Market,2015-07-16,1,31,yahoo_finance,SOURCE_VERIFIED
7,ORBS,0001892492,EIGHTCO HOLDINGS INC,Broadline Retail,NASDAQ-NMS Stock Market,2022-05-18,12,31,yahoo_finance,SOURCE_VERIFIED
8,AMZN,0001018724,AMAZON.COM INC,Broadline Retail,NASDAQ-NMS Stock Market,1997-05-15,12,31,yahoo_finance,SOURCE_VERIFIED
9,EBAY,0001065088,EBAY INC,Broadline Retail,NASDAQ-NMS Stock Market,1998-09-24,12,31,yahoo_finance,SOURCE_VERIFIED
10,MELI,0001099590,MERCADOLIBRE INC,Broadline Retail,NASDAQ-NMS Stock Market,2007-08-10,12,31,yahoo_finance,SOURCE_VERIFIED
11,GRPN,0001490281,GROUPON INC,Broadline Retail,NASDAQ-NMS Stock Market,2011-11-04,12,31,yahoo_finance,SOURCE_VERIFIED
12,JWN,0000072333,NORDSTROM INC,Broadline Retail,New York Stock Exchange (NYSE),1971-07-29,1,31,manual_patch,MANUAL_VERIFIED
13,HOUR,0001874875,HOUR LOOP INC,Broadline Retail,NASDAQ-NMS Stock Market,2022-01-07,12,31,yahoo_finance,SOURCE_VERIFIED
14,SVV,0001883313,SAVERS VALUE VILLAGE INC,Broadline Retail,New York Stock Exchange (NYSE),2023-06-29,3,26,yahoo_finance,SOURCE_VERIFIED
15,PTRN,0001811935,PATTERN GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market,2025-09-19,12,31,yahoo_finance,SOURCE_VERIFIED
