"chunk_id","chunk_text_sha256","review_status","issue_type","notes"
"AAPL__AAPL_APPLE_INC_2024__appendix__0001__chunk_0001","1d6d5a795c07cce468d040d2f0ec88e2c8d9ec49aaf002d5de2feabd116211cd","","",""
"AAPL__AAPL_APPLE_INC_2024__appendix__0005__chunk_0000","4980ee6fe93cec3156032549efcb2cb4753dba93b21f95941f9d27932d63ad4c","","",""
"AAPL__AAPL_APPLE_INC_2024__appendix__0006__chunk_0000","8cf4d55dc4966d03971eafb510d4cc70bce74b1604be48aa8d61f308e64b58a3","","",""
"AAPL__AAPL_APPLE_INC_2024__appendix__0009__chunk_0005","0afaae07263e95ea290135e38ae7d83f2d0ce74475852bbf70dd79ec7cc220ca","","",""
"AAPL__AAPL_APPLE_INC_2024__appendix__0009__chunk_0006","35e69b5421de2438b02df9f9c616cb63480ba13bdaf71fbfb78daf4eb30fc4e0","","",""
"AAPL__AAPL_APPLE_INC_2024__climate__0001__chunk_0000","4f48c3d99de5f3a35ba58d9ce91f70395da74222f4f319a6ec15e35c6f6bf71e","","",""
"AAPL__AAPL_APPLE_INC_2024__data_summary__0001__chunk_0000","cb876ebf3caba78967b46ed562df7d48c0281bf7dbdc6a3a73a75868cc760efc","","",""
"AAPL__AAPL_APPLE_INC_2024__energy__0003__chunk_0001","9bcd745c3be28c60f6ed7db09dbc213a54984996650fd1e185d79d45fbe1dfe4","","",""
"AAPL__AAPL_APPLE_INC_2024__energy__0007__chunk_0000","a7ea43c8020809f5f4b3440830942b5af851c1509d99747e93cc5a23a0371a90","","",""
"AAPL__AAPL_APPLE_INC_2024__energy__0012__chunk_0000","ec8d795b9946cc89072c14e4b962ad3bd4c9b916a36aafb732fc0f06342dac5e","","",""
"AAPL__AAPL_APPLE_INC_2024__water__0001__chunk_0001","4635dd8001bef4fb706fc00b0e63b5122f04641ef2eec30154e55f0f1c71d838","","",""
"AAPL__AAPL_APPLE_INC_2024__water__0002__chunk_0002","8bb90f75b07f501d3356654321efc1f97253636e62a0022191e7e360e9b73609","","",""
"AAPL__AAPL_APPLE_INC_2024__water__0002__chunk_0005","d21c12c0538af7c66d54f5c5b028ad58a69620fd6b5c0bcb83987c4451237abf","","",""
"AAPL__AAPL_APPLE_INC_2024__water__0003__chunk_0003","41963a8c50f45feb90084e79e4e496ae4e34a255dd9de182101cc1f3e3926ff3","","",""
"AAPL__AAPL_APPLE_INC_2024__water__0003__chunk_0004","c30a64dd7e2615704559658534f070334b338939f7fd13a244b225c6f8fc3dab","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__about_this_report__0003__chunk_0000","952d547228d69c1e41a5058b58e74c24e93e9bc75d6a60c24d2b5c8043476c7a","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__ceo_letter__0001__chunk_0000","14afd9327c4467c6c533cad4244cb4022b5fd5335cf6dcffdee11b2b87742a28","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__ceo_letter__0001__chunk_0001","a0183887e88975226e954dd6c6820e436ab2d86567f60fa379984d013bc6cfc9","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__ceo_letter__0001__chunk_0002","21cee0cda36b4e83826ba2c87463246f775d9d4cf72f81a2259f838676058408","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__community__0003__chunk_0000","1c80f09ac0abe6bd5176de3c13477882d28d2db3a07ecf28380834c3a871975c","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__environmental__0002__chunk_0000","6e41ffa7513fd08f586725cd33e1d4364b8a60f0c1ca71da992e4363b47de90a","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__ethics_compliance__0002__chunk_0001","e51a4512fb0a5db55ee8328011750d94ead6f7bb7455a82a254cc423c729254d","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__governance__0001__chunk_0000","001732b228c2ee2533f786ffe239958765f642d943e356978534f544e4231ed5","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__governance__0002__chunk_0000","15e31b063c8be7c3e4e3eeda22155528338b1814bf6e4040b2fea8a45f431cfb","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__governance__0004__chunk_0000","fe0e44e34026ee949d01a411b35e678f53f5a383794e84d72c4f6a0c3b1917b1","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__human_capital__0001__chunk_0000","56c78c81415d06964385830228c2021a222f1911d61af1cf44ca71849cd6e4b4","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2023__human_capital__0004__chunk_0000","ba676c6bf1d006252dcd9b1999c7511cdfacaeb81172db6397ad6eb87f5dd1d9","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__appendix__0001__chunk_0000","6239258276c4d76f64b9e6a783222cb1634e3d76e13a6253e78864d6edea9f87","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__community__0002__chunk_0000","281efb266508f9deb8cc55bf70245feea5bd945d1b76d3f4e1da45b3aa401dfd","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__community__0004__chunk_0000","20cb51a49859254970099eeeddc73c614d72f1d967243e8e6eb3062ec26a492e","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__energy__0001__chunk_0000","2129b949c46e6192336d2130460873dcabb441f19484057c41490a7f9f581fe0","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__environmental__0004__chunk_0000","56e7e0ac768061cf79311d1a3ae285a40e5c634cab7b74d2e17c61b4dd624d59","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__ethics_compliance__0003__chunk_0001","735745bb8c18fbd1f6c9fd73934df2344a8096d032bd2a58cc35532e20d74fef","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__governance__0002__chunk_0000","5490aa1c7ed2444e4dac5d8559929aea1227c978875e61e916fd8453015e5fcf","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__governance__0003__chunk_0000","d96494e2561cd088c26584e5e65510182dd049f6fe2eecf2b000def5bafdda77","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__human_capital__0002__chunk_0001","83115a51b1d954893dd1b00616ed5f5d91acf023f278083896490a4f141bd8a4","","",""
"ABG__ABG_ASBURY_AUTOMOTIVE_GROUP_INC_2024__human_capital__0005__chunk_0000","13a2db12f69fc4e50ed288bf8cc6aaec34054d14f2c968b912878c1a89ac7cd6","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__community__0001__chunk_0000","8f05c76064776bf5d590df1a35fe1ac182f5f637675a6482520ba415a2b233be","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__community__0001__chunk_0001","cc7b2ef7526763ce6183cd2cb97e2c6a60b43e84ee48cb4e6b305fffb39b1480","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__emissions__0003__chunk_0000","37971624b69fe15c96e5afb7283d2799b1af1593c4d5ed433d540f6b1aff65e9","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__human_capital__0004__chunk_0000","1727298262b3b6ac964bcce1aaafc4b2051f7f18bde7853419dc588141515f12","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__human_capital__0006__chunk_0000","71449a4db8d20899ae50ef0f07d62659780afab602be05f65df8cc6063405b08","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__human_capital__0008__chunk_0000","0fe82ee526d8c3eee84df866210dbe3c861ed7479b84a823b32d6b6351747a9b","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__human_capital__0008__chunk_0001","64612026e7d023a54c73aaf21a557729b0d02fe65e6885aaad0bf57be056b20a","","",""
"ACI__ACI_ALBERTSONS_COS_INC_2023__supply_chain_ethics__0001__chunk_0000","ab50bddcda19fd0f239b94dcde398ba3d14f65750465dda237dda2a81c3b5cf9","","",""
