ticker,pdf_filename,page,distinctive_words,overlap_pct,status
ETSY,ETSY-Etsy-2024.pdf,1,170,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,2,273,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,3,165,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,4,292,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,5,171,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,6,223,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,7,241,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,8,256,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,9,188,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,10,60,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,11,321,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,12,297,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,13,239,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,14,212,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,15,114,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,16,201,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,17,223,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,18,243,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,19,306,100.0,COVERED
ETSY,ETSY-Etsy-2024.pdf,20,308,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,1,89,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,2,192,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,3,175,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,4,275,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,5,77,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,6,126,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,7,194,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,8,350,99.7,COVERED
WMT,WMT-WALMART INC-2023.pdf,9,344,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,10,168,98.2,COVERED
WMT,WMT-WALMART INC-2023.pdf,11,164,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,12,339,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,13,121,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,14,295,99.7,COVERED
WMT,WMT-WALMART INC-2023.pdf,15,124,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,16,265,99.6,COVERED
WMT,WMT-WALMART INC-2023.pdf,17,240,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,18,294,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,19,447,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,20,92,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,21,99,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,22,178,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,23,295,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,24,258,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,25,113,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,26,207,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,27,178,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,28,289,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,29,45,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,30,103,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,31,195,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,32,161,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,33,175,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,34,237,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,35,70,100.0,COVERED
WMT,WMT-WALMART INC-2023.pdf,36,109,100.0,COVERED
