company,filename
BBBY,BBBY-BED BATH & BEYOND INC-2021.pdf
ANF,ANF-ABERCROMBIE & FITCH -CL A-2023.pdf
ANF,ANF-ABERCROMBIE & FITCH -CL A-2022.pdf
ANF,ANF-ABERCROMBIE & FITCH -CL A-2021.pdf
BRLT,BRLT-BRILLIANT EARTH GP INC-2025.pdf
BRLT,BRLT-BRILLIANT EARTH GP INC-2024.pdf
BRLT,BRLT-BRILLIANT EARTH GP INC-2023.pdf
BRLT,BRLT-BRILLIANT EARTH GP INC-2022.pdf
BRLT,BRLT-BRILLIANT EARTH GP INC-2021.pdf
XOM,XOM-EXXON MOBIL CORP-2019.pdf
XOM,XOM-EXXON MOBIL CORP-2021.pdf
XOM,XOM-EXXON MOBIL CORP-2022.pdf
XOM,XOM-EXXON MOBIL CORP-2024.pdf
XOM,XOM-EXXON MOBIL CORP-2025.pdf
VZ,VZ-VERIZON COMMUNICATIONS INC-2024.pdf
VZ,VZ-VERIZON COMMUNICATIONS INC-2023.pdf
VZ,VZ-VERIZON COMMUNICATIONS INC-2022.pdf
VZ,VZ-VERIZON COMMUNICATIONS INC-2021.pdf
T,T-AT&T INC-2021.pdf
T,T-AT&T INC-2016.pdf
T,T-AT&T INC-2020.pdf
T,T-AT&T INC-2025.pdf
T,T-AT&T INC-2024.pdf
T,T-AT&T INC-2023.pdf
T,T-AT&T INC-2022.pdf
DELL,DELL-DELL TECHNOLOGIES INC-2021.pdf
DELL,DELL-DELL TECHNOLOGIES INC-2022.pdf
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf
DELL,DELL-DELL TECHNOLOGIES INC-2024.pdf
DELL,DELL-DELL TECHNOLOGIES INC-2020.pdf
CVS,CVS-CVS HEALTH CORP-2025.pdf
CVS,CVS-CVS HEALTH CORP-2023.pdf
CVS,CVS-CVS HEALTH CORP-2022.pdf
CVS,CVS-CVS HEALTH CORP-2021.pdf
AAPL,AAPL-APPLE INC-2022.pdf
AAPL,AAPL-APPLE INC-2021.pdf
AAPL,AAPL-APPLE INC-2020.pdf
AAPL,AAPL-APPLE INC-2024.pdf
AAPL,AAPL-APPLE INC-2025.pdf
PSMT,PSMT-PRICESMART INC-2025.pdf
PSMT,PSMT-PRICESMART INC-2024.pdf
PSMT,PSMT-PRICESMART INC-2023.pdf
PSMT,PSMT-PRICESMART INC-2022.pdf
PSMT,PSMT-PRICESMART INC-2021.pdf
DLTR,DLTR-DOLLAR TREE INC-2024.pdf
DLTR,DLTR-DOLLAR TREE INC-2023.pdf
DLTR,DLTR-DOLLAR TREE INC-2022.pdf
DLTR,DLTR-DOLLAR TREE INC-2021.pdf
DLTR,DLTR-DOLLAR TREE INC-2020.pdf
WMT,WMT-WALMART INC-2024.pdf
WMT,WMT-WALMART INC-2023.pdf
WMT,WMT-WALMART INC-2022.pdf
WMT,WMT-WALMART INC-2021.pdf
WMT,WMT-WALMART INC-2020.pdf
TGT,TGT-TARGET CORP-2023.pdf
TGT,TGT-TARGET CORP-2022.pdf
TGT,TGT-TARGET CORP-2021.pdf
TGT,TGT-TARGET CORP-2020.pdf
TGT,TGT-TARGET CORP-2025.pdf
DG,DG-DOLLAR GENERAL CORP-2025.pdf
DG,DG-DOLLAR GENERAL CORP-2023.pdf
DG,DG-DOLLAR GENERAL CORP-2024.pdf
DG,DG-DOLLAR GENERAL CORP-2022.pdf
BJ,BJ-BJS WHSL CLUB HLDGS INC-2023.pdf
BJ,BJ-BJS WHSL CLUB HLDGS INC-2022.PDF
COST,COST-COSTCO WHOLESALE CORP-2025.pdf
COST,COST-COSTCO WHOLESALE CORP-2022.pdf
COST,COST-COSTCO WHOLESALE CORP-2021.pdf
CASY,CASY-CASEYS GENERAL STORES INC-2024.pdf
CASY,CASY-CASEYS GENERAL STORES INC-2023.pdf
CASY,CASY-CASEYS GENERAL STORES INC-2022.pdf
CASY,CASY-CASEYS GENERAL STORES INC-2021.pdf
CASY,CASY-CASEYS GENERAL STORES INC-2020.pdf
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2025.pdf
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2024.pdf
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2023.pdf
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2022.pdf
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf
GO,GO-GROCERY OUTLET HLDNG CORP-2022.pdf
GO,GO-GROCERY OUTLET HLDNG CORP-2023.pdf
GO,GO-GROCERY OUTLET HLDNG CORP-2024.pdf
ACI,ACI-ALBERTSONS COS INC-2024.pdf
ACI,ACI-ALBERTSONS COS INC-2023.pdf
ACI,ACI-ALBERTSONS COS INC-2022.pdf
ACI,ACI-ALBERTSONS COS INC-2021-2022.pdf
SFM,SFM-SPROUTS FARMERS MARKET-2025.pdf
SFM,SFM-SPROUTS FARMERS MARKET-2024.pdf
SFM,SFM-SPROUTS FARMERS MARKET-2023.pdf
SFM,SFM-SPROUTS FARMERS MARKET-2022.pdf
SFM,SFM-SPROUTS FARMERS MARKET-2021.pdf
KR,KR-KROGER CO-2024.pdf
KR,KR-KROGER CO-2023.pdf
KR,KR-KROGER CO-2022.pdf
KR,KR-KROGER CO-2021.pdf
KR,KR-KROGER CO-2020.pdf
WMK,WMK-WEIS MARKETS INC-2024-2025.pdf
WMK,WMK-WEIS MARKETS INC-2023.pdf
WMK,WMK-WEIS MARKETS INC-2022.pdf
WMK,WMK-WEIS MARKETS INC-2021.pdf
W,W-WAYFAIR INC-2025.pdf
W,W-WAYFAIR INC-2024.pdf
W,W-WAYFAIR INC-2023.pdf
W,W-WAYFAIR INC-2022.pdf
W,W-WAYFAIR INC-2021.pdf
WSM,WSM-WILLIAMS-SONOMA INC-2024.pdf
WSM,WSM-WILLIAMS-SONOMA INC-2023.pdf
WSM,WSM-WILLIAMS-SONOMA INC-2022.pdf
WSM,WSM-WILLIAMS-SONOMA INC-2021.pdf
HVT,HVT-HAVERTY FURNITURE-2024.pdf
SNBR,SNBR-SLEEP NUMBER CORP-2025.pdf
SNBR,SNBR-SLEEP NUMBER CORP-2024.pdf
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf
SNBR,SNBR-SLEEP NUMBER CORP-2022.pdf
SNBR,SNBR-SLEEP NUMBER CORP-2021.pdf
VVV,VVV-VALVOLINE INC-2024.pdf
VVV,VVV-VALVOLINE INC-2023.pdf
VVV,VVV-VALVOLINE INC-2022.pdf
VVV,VVV-VALVOLINE INC-2021.pdf
ARKO,ARKO-ARKO CORP-2024.pdf
ARKO,ARKO-ARKO CORP-2023.pdf
ARKO,ARKO-ARKO CORP-2022.pdf
ARKO,ARKO-ARKO CORP-2021.pdf
MUSA,MUSA-MURPHY USA INC-2024.pdf
MUSA,MUSA-MURPHY USA INC-2023.pdf
MUSA,MUSA-MURPHY USA INC-2022.pdf
MUSA,MUSA-MURPHY USA INC-2021.pdf
PRTS,PRTS-CARPARTS COM INC-2022.pdf
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf
AAP,AAP-ADVANCE AUTO PARTS INC-2021.pdf
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2024.pdf
AZO,AZO-AUTOZONE INC-2025.pdf
AZO,AZO-AUTOZONE INC-2024.pdf
AZO,AZO-AUTOZONE INC-2023.pdf
AZO,AZO-AUTOZONE INC-2022.pdf
AZO,AZO-AUTOZONE INC-2021.pdf
AZO,AZO-AUTOZONE INC-2020.pdf
KMX,KMX-CARMAX INC-2026.pdf
KMX,KMX-CARMAX INC-2025.pdf
KMX,KMX-CARMAX INC-2024.pdf
KMX,KMX-CARMAX INC-2023.pdf
KMX,KMX-CARMAX INC-2022.pdf
KMX,KMX-CARMAX INC-2021.pdf
CRMT,CRMT-AMERICA'S CAR-MART INC-2024.pdf
CRMT,CRMT-AMERICA'S CAR-MART INC-2023.pdf
CRMT,CRMT-AMERICA'S CAR-MART INC-2022.pdf
CRMT,CRMT-AMERICA'S CAR-MART INC-2021.pdf
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2025.pdf
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2023.pdf
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022.pdf
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021.pdf
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2024.pdf
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2022.pdf
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2021.pdf
LAD,LAD-LITHIA MOTORS INC -CL A-2025.pdf
LAD,LAD-LITHIA MOTORS INC -CL A-2024.pdf
LAD,LAD-LITHIA MOTORS INC -CL A-2023.pdf
LAD,LAD-LITHIA MOTORS INC -CL A-2022.pdf
LAD,LAD-LITHIA MOTORS INC -CL A-2021.pdf
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2022.pdf
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2021.pdf
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2020.pdf
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2024.PDF
AN,AN-AUTONATION INC-2025.pdf
AN,AN-AUTONATION INC-2024.pdf
AN,AN-AUTONATION INC-2023.pdf
AN,AN-AUTONATION INC-2022.pdf
AN,AN-AUTONATION INC-2021.pdf
APC,APC-ARKO PETROLEUM CORP-2021.pdf
APC,APC-ARKO PETROLEUM CORP-2022.pdf
APC,APC-ARKO PETROLEUM CORP-2023.pdf
APC,APC-ARKO PETROLEUM CORP-2024.pdf
MNRO,MNRO-MONRO INC-2025.pdf
MNRO,MNRO-MONRO INC-2024.pdf
MNRO,MNRO-MONRO INC-2023.pdf
MNRO,MNRO-MONRO INC-2022.pdf
MNRO,MNRO-MONRO INC-2021.pdf
UPBD,UPD-UPBOUND GROUP INC-2021.pdf
UPBD,UPD-UPBOUND GROUP INC-2022.pdf
UPBD,UPD-UPBOUND GROUP INC-2023.pdf
LESL,LESL-LESLIE'S INC-2021.pdf
LESL,LESL-LESLIE'S INC-2022.pdf
LESL,LESL-LESLIE'S INC-2023.pdf
LESL,LESL-LESLIE'S INC-2024.pdf
TSCO,TSCO-TRACTOR SUPPLY CO-2024.pdf
TSCO,TSCO-TRACTOR SUPPLY CO-2024.pdf
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2021.pdf
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2022.pdf
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2023.pdf
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2024.pdf
BBW,BBW-BUILD-A-BEAR WORKSHOP INC-2023.pdf
BBW,BBW-BUILD-A-BEAR WORKSHOP INC-2024.pdf
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf
DKS,DKS-DICKS SPORTING GOODS INC-2022.pdf
ASO,ASO-ACADEMY SPO AND OU INC-2021.pdf
WRBY,WRBY-WARBY PARKER INC-2021.pdf
WRBY,WRBY-WARBY PARKER INC-2022.pdf
WRBY,WRBY-WARBY PARKER INC-2023.pdf
WRBY,WRBY-WARBY PARKER INC-2024.pdf
WRBY,WRBY-WARBY PARKER INC-2025.pdf
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf
EYE,EYE-NATIONAL VISION HOLDINGS INC-2022.pdf
EYE,EYE-NATIONAL VISION HOLDINGS INC-2023.pdf
EYE,EYE-NATIONAL VISION HOLDINGS INC-2024.pdf
ULTA,ULTA-ULTA BEAUTY INC-2021.pdf
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf
ULTA,ULTA-ULTA BEAUTY INC-2023.pdf
ULTA,ULTA-ULTA BEAUTY INC-2024.pdf
ULTA,ULTA-ULTA BEAUTY INC-2025.pdf
