ticker,filename,kept_file_id,trashed_file_id
XOM,XOM-EXXON MOBIL CORP-2017.pdf,1avQudBmpD7RKW1IQZ7U-pJu4tG8PBJ-u,1n0-ZBlaiAK4PcWNWwTJLMjgS0eGWK480
XOM,XOM-EXXON MOBIL CORP-2018.pdf,1PhFZ-WxqnlDZiplvYoeeutioRJo3uzwh,1KxATFx60ifBHvFlN7HWgqEQMriwS1brs
XOM,XOM-EXXON MOBIL CORP-2016.pdf,1AcNjEBbylgHr6Fyw8yCe11snIZ4Rsuio,1nGJzJBbZIQXlhuX1EkICsYhWjNrzqhIR
VZ,VZ-VERIZON COMMUNICATIONS INC-2016.pdf,1oamKrn5XsX6ATQsq8KoXj2TRBQ-H0vrs,1OE3RPfp2RPyVIUTtMzc_UsNOcT-J8ca7
VZ,VZ-VERIZON COMMUNICATIONS INC-2015.pdf,1WkonwxZ6OOteG8-ynYZ0tj8eKGEl-Gv_,1mb_Zyzc71hXK1IW1gXDk_3se7KC05q32
VZ,VZ-VERIZON COMMUNICATIONS INC-2017.pdf,1dCduzHAu3j8FT79T0KsLylwvO8B-U4OC,1Vk527wCpAY6Yegl-png0PPY-I_z9be8v
T,T-AT&T INC-2018.pdf,18--9g5xQTIT9BAQwdpKm0kCdEun-rHdi,16jWmLfzLwRp1xj0k279r1zTFZJqBG4hc
DELL,DELL-DELL TECHNOLOGIES INC-2018.pdf,1TIGTv5oUXZKNbghvzz-deyYNhh3iuQc2,1yQDlEXC60qfaHp5apRW2pp-MB66viw9o
CVS,CVS-CVS HEALTH CORP-2015.pdf,1STwsdfO8Dc0450AtyEPrDlQQYTOZ8Eh0,1NysI8qn_Z4m6sk8ubCSQhRNJfKHYbBkg
CVS,CVS-CVS HEALTH CORP-2020.pdf,1_kwMhoCBSAq1gSlh9qz1z7j_HFFJJACv,1m1LsrUOTIU23TrAqoZp1eJ7NmWLY5vR8
WMT,WMT-WALMART INC-2017.pdf,11eN4xxrEWHRSAeZVVjr_t0WKPp72WX3N,16AHO7uuw4oZ6aSTZWvWgWN20Yav6ynB5
WMT,WMT-WALMART INC-2016.pdf,1KlhUwoGsqLFZ1N53XSaU8eDPb6NFZueP,1Tj-xQou9MVh57r2tqgPwRfcJkGDMV_uV
WMT,WMT-WALMART INC-2015.pdf,1bo0XL7CZn3uUJ4vge9fCMhRjxyrwknCz,1nfIa6CgBqsRgNIIqWM_uP1bBHYhPVpP0
TGT,TGT-TARGET CORP-2015.pdf,1wqpRNDsIjzEzx6Bw-WVeCdfoz3EqMIaA,1wFxQXSIjF4zomBheoQQiugHus-VOecmG
TGT,TGT-TARGET CORP-2016.pdf,1BupfS3zSiGtpCJhxugDD8XImY7DJ4xQo,1yONzcahAskt8coQMDDM5ONZpZ0FG9sSn
ACI,ACI-ALBERTSONS COS INC-2020.pdf,18Oe9OqkLn-tN_gvNH3gxURLi1vH_x2d5,1rzRBEDh_KjPWKDihU535UA1vXH12_mq4
