ticker,filename,status,old_md5,new_md5
T,T-AT&T INC-2020.pdf,hash_match,d1d566a21e840d1293909c9e2fa9b01d,d1d566a21e840d1293909c9e2fa9b01d
KR,KR-KROGER CO-2020.pdf,hash_match,09b06592250f049a36c720e8fd10809c,09b06592250f049a36c720e8fd10809c
DELL,DELL-DELL TECHNOLOGIES INC-2020.pdf,hash_mismatch,ed4979bd99b36e9be064433402607ccd,8dbda4134e5c287e2f8d5699ca2bf6b7
AAPL,AAPL-APPLE INC-2020.pdf,hash_mismatch,5c5068090d9e907d1d6770e09f371482,ce714fbf32e79241ca348299bd3010f8
T,T-AT&T INC-2016.pdf,hash_match,53dd85ec07ebe579102b64b77079919b,53dd85ec07ebe579102b64b77079919b
SONO,SONO-SONOS INC-2020.pdf,hash_match,7e066ced2c1ac984545973e91231ca85,7e066ced2c1ac984545973e91231ca85
LOW,LOW-LOWE'S COS INC-2023.pdf,only_in_old,f57742c3b2692f472677ddd6ba3bef36,
LULU,LULU-LULULEMON ATHLETICA INC-2024.pdf,only_in_old,1b0463edc6b5ebb7463d5e2e5caec254,
AN,AN-AUTONATION INC-2022.pdf,only_in_old,98c4771c08dba1e70f94bcfc7aea2240,
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2025.pdf,only_in_old,1f073651fa78502c4cf6932b65866168,
PVH,PVH-PVH CORP-2024.pdf,only_in_old,d737ac7d35ba69f48729841597f44e35,
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2021.pdf,only_in_old,3833e6cca929609edf0c0e454a232e68,
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,only_in_old,6f0a6d9dce7fd2694e57135133e38a8b,
KTB,KTB-KONTOOR BRANDS INC-2021-2022.pdf,only_in_old,1e92ac95504efc8c1cdc2d89f16de786,
DG,DG-DOLLAR GENERAL CORP-2022.pdf,only_in_old,67bbc02b47f288ef26d6d2f272bd1322,
RL,RL-RALPH LAUREN CORP-2022.pdf,only_in_old,a784183078352e7d01996c77775fa2d8,
VRA,VRA-VERA BRADLEY INC-2025.pdf,only_in_old,eac997eff6a464ab5dd7edeea7758e45,
WMK,WMK-WEIS MARKETS INC-2022.pdf,only_in_old,977133921ef837bc819c2aa9df2a102f,
W,W-WAYFAIR INC-2021.pdf,only_in_old,9ca71bd66938ed22d2c561bf5141dfe3,
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,only_in_old,2da1ed1b11d5089ce5a9e6ef30ef3a42,
ETSY,ETSY-Etsy-2021.pdf,only_in_old,9d6e43054864351d67796bef7fcdf700,
MNRO,MNRO-MONRO INC-2023.pdf,only_in_old,02c07b1635a9b067fd14756371b137a4,
EBAY,EBAY-eBay-2023-Report.pdf,only_in_old,a31ef7dd83bd9d236b24a61c9e7c3249,
LOVE,LOVE-LOVESAC CO (THE)-2024.pdf,only_in_old,64c0fbbb4282987969fc7fa40201176f,
NKE,NKE-NIKE INC -CL B-2022.pdf,only_in_old,14a48d9e17b3336b222af98e26fc639a,
VZ,VZ-VERIZON COMMUNICATIONS INC-2024.pdf,only_in_old,7052c13683c1b2f7b4028ef1a084a2de,
FIVE,FIVE-FIVE BELOW INC-2020.pdf,only_in_old,cce9ba62321c12589888b7c344d4619f,
CASY,CASY-CASEYS GENERAL STORES INC-2023.pdf,only_in_old,f7063f0a2001f135ea3bafc7f35e4099,
CRI,CRI-CARTER'S INC-2022.pdf,only_in_old,5a8bf76468d680fb8902f47df99158bf,
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2021.pdf,only_in_old,1a202779cd9bb3902140b70530251f2b,
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2023.pdf,only_in_old,76d09e6956bed79c9caa8b4a4450aebe,
TSCO,TSCO-TRACTOR SUPPLY CO-2023.PDF,only_in_old,f654b2c81211fcc03ddfcc1bd04d5c4e,
VVV,VVV-VALVOLINE INC-2023.pdf,only_in_old,271aa52dcd82572a2d9e50e865ca6147,
BBY,BBY-BEST BUY CO INC-2024.pdf,only_in_old,1f37ae2aaf180c7676541d12a058b6c8,
BURL,BURL-Burlington Stores-2024.pdf,only_in_old,1282ea1ab11a2158bffd09869fb51a6e,
